"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023",
"Aruba","ABW","Desempleo, mujeres (% de la población activa femenina) (estimación modelado OIT)","SL.UEM.TOTL.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"","AFE","Desempleo, mujeres (% de la población activa femenina) (estimación modelado OIT)","SL.UEM.TOTL.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8.32276092510059","8.41191550880997","8.37674583080669","8.26435236535582","8.135652101774","8.14989182831431","8.17748950759506","8.25798761196092","8.33682053389935","8.26333976899988","8.15876505398284","8.18469000326397","8.21843019791554","8.02849918784136","7.84254142325856","7.82840135887676","7.76643049620551","7.73786874922817","7.79707794563178","8.08722318352727","8.19338918404892","7.8682237578374","7.60620659964151","7.53539220204996","7.64969434793384","7.80788719126048","7.96307739439878","7.95638474137389","8.17709642047009","8.85469483741316","9.3819420512076","8.82807285582282","8.60156347656191",
"Afganistán","AFG","Desempleo, mujeres (% de la población activa femenina) (estimación modelado OIT)","SL.UEM.TOTL.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","10.58","10.515","10.379","10.31","10.31","10.374","10.378","10.417","10.439","10.483","10.508","10.483","10.427","10.447","10.428","10.456","10.337","10.397","10.243","10.23","10.253","10.325","10.372","10.317","11.611","12.834","14.018","14.783","15.549","16.778","16.945","26.742","26.57",
"","AFW","Desempleo, mujeres (% de la población activa femenina) (estimación modelado OIT)","SL.UEM.TOTL.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3.94602115271903","4.11749389373763","4.23870293850415","4.27812501596453","4.30116819528892","4.25670932922015","4.24720513142102","4.27249597224965","4.48466012032618","4.5061775939732","4.44590086652742","4.27076543050797","4.18300678170046","4.11026032973738","4.13453959777723","4.02126204887487","4.01612777013483","4.0501153114792","4.09837504010474","4.10796000491852","4.07558753544752","4.04349549411098","3.70087891676082","3.83712393666021","4.0966128319493","4.0920359992448","4.19894142135203","4.27833394014694","4.40202473193111","5.14731631228329","5.50869034647606","4.6489123735613","3.9656857386113",
"Angola","AGO","Desempleo, mujeres (% de la población activa femenina) (estimación modelado OIT)","SL.UEM.TOTL.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","18.871","19.004","19.461","19.458","19.005","18.226","18.115","18.331","18.573","18.669","18.686","18.453","18.463","18.333","18.314","18.146","18.09","18.174","18.398","18.604","18.797","18.33","18.014","17.682","17.528","17.369","17.158","16.892","16.547","16.614","15.781","14.736","14.671",
"Albania","ALB","Desempleo, mujeres (% de la población activa femenina) (estimación modelado OIT)","SL.UEM.TOTL.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","10.271","27.073","22.989","18.892","14.107","12.917","15.733","19.776","20.396","18.544","18.94","18.269","17.388","16.694","16.411","16.074","16.39","13.735","15.688","15.85","13.751","11.508","13.397","15.515","17.122","14.49","12.524","11.888","11.318","11.648","11.678","10.405","10.376",
"Andorra","AND","Desempleo, mujeres (% de la población activa femenina) (estimación modelado OIT)","SL.UEM.TOTL.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"El mundo árabe","ARB","Desempleo, mujeres (% de la población activa femenina) (estimación modelado OIT)","SL.UEM.TOTL.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","16.9193208076165","15.6734385656108","17.2833250053784","17.945197555505","18.6122331535359","16.8036940481332","16.992848168674","16.9053805659701","16.9148032164477","18.3430335300125","18.2255679655234","18.7248086381443","18.5289517258824","18.7435597266417","18.3156857798381","17.7531348819465","16.6223840478723","16.6914676783505","17.9414420256891","18.507735188474","19.5156720062136","20.0306960259819","19.991861966426","19.9975263958842","20.2457736718215","20.06889059366","20.4231601179523","19.6100579274313","19.5945166160974","19.7046439022634","18.4463995459832","18.0418876931775","17.1650787980939",
"Emiratos Árabes Unidos","ARE","Desempleo, mujeres (% de la población activa femenina) (estimación modelado OIT)","SL.UEM.TOTL.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.239","2.307","2.439","2.392","2.367","2.398","2.453","2.574","2.669","2.715","3.633","4.567","5.533","6.268","7.096","6.778","6.628","6.34","6.384","6.085","5.679","5.199","4.833","4.597","4.227","3.952","6.904","5.754","5.571","5.717","6.418","7.418","4.297",
"Argentina","ARG","Desempleo, mujeres (% de la población activa femenina) (estimación modelado OIT)","SL.UEM.TOTL.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5.755","6.718","12.607","13.959","22.234","19.208","17.652","14.038","15.154","16.356","17.191","18.823","17.577","15.823","13.596","12.429","10.49","9.748","9.871","9.221","8.522","8.841","8.508","8.394","8.706","9.224","9.485","10.563","10.718","12.394","9.852","7.682","6.793",
"Armenia","ARM","Desempleo, mujeres (% de la población activa femenina) (estimación modelado OIT)","SL.UEM.TOTL.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.345","2.365","7.299","8.458","9.981","14.476","16.708","13.397","14.987","14.371","13.777","13.129","12.527","11.974","11.432","10.894","10.358","19.225","20.461","21.536","20.194","18.552","18.662","19.335","19.185","17.494","17.488","20.239","19.191","17.233","15.236","12.668","12.542",
