"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023",
"Aruba","ABW","Índice de facilidad para hacer negocios (1 = reglamentaciones más favorables para los negocios)","IC.BUS.EASE.XQ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"","AFE","Índice de facilidad para hacer negocios (1 = reglamentaciones más favorables para los negocios)","IC.BUS.EASE.XQ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Afganistán","AFG","Índice de facilidad para hacer negocios (1 = reglamentaciones más favorables para los negocios)","IC.BUS.EASE.XQ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","173","","","","",
"","AFW","Índice de facilidad para hacer negocios (1 = reglamentaciones más favorables para los negocios)","IC.BUS.EASE.XQ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Angola","AGO","Índice de facilidad para hacer negocios (1 = reglamentaciones más favorables para los negocios)","IC.BUS.EASE.XQ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","177","","","","",
"Albania","ALB","Índice de facilidad para hacer negocios (1 = reglamentaciones más favorables para los negocios)","IC.BUS.EASE.XQ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","82","","","","",
"Andorra","AND","Índice de facilidad para hacer negocios (1 = reglamentaciones más favorables para los negocios)","IC.BUS.EASE.XQ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"El mundo árabe","ARB","Índice de facilidad para hacer negocios (1 = reglamentaciones más favorables para los negocios)","IC.BUS.EASE.XQ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Emiratos Árabes Unidos","ARE","Índice de facilidad para hacer negocios (1 = reglamentaciones más favorables para los negocios)","IC.BUS.EASE.XQ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","16","","","","",
"Argentina","ARG","Índice de facilidad para hacer negocios (1 = reglamentaciones más favorables para los negocios)","IC.BUS.EASE.XQ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","126","","","","",
"Armenia","ARM","Índice de facilidad para hacer negocios (1 = reglamentaciones más favorables para los negocios)","IC.BUS.EASE.XQ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","47","","","","",
"Samoa Americana","ASM","Índice de facilidad para hacer negocios (1 = reglamentaciones más favorables para los negocios)","IC.BUS.EASE.XQ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Antigua y Barbuda","ATG","Índice de facilidad para hacer negocios (1 = reglamentaciones más favorables para los negocios)","IC.BUS.EASE.XQ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","113","","","","",
"Australia","AUS","Índice de facilidad para hacer negocios (1 = reglamentaciones más favorables para los negocios)","IC.BUS.EASE.XQ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","14","","","","",
"Austria","AUT","Índice de facilidad para hacer negocios (1 = reglamentaciones más favorables para los negocios)","IC.BUS.EASE.XQ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","27","","","","",
"Azerbaiyán","AZE","Índice de facilidad para hacer negocios (1 = reglamentaciones más favorables para los negocios)","IC.BUS.EASE.XQ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","28","","","","",
"Burundi","BDI","Índice de facilidad para hacer negocios (1 = reglamentaciones más favorables para los negocios)","IC.BUS.EASE.XQ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","166","","","","",
"Bélgica","BEL","Índice de facilidad para hacer negocios (1 = reglamentaciones más favorables para los negocios)","IC.BUS.EASE.XQ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","46","","","","",
"Benin","BEN","Índice de facilidad para hacer negocios (1 = reglamentaciones más favorables para los negocios)","IC.BUS.EASE.XQ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","149","","","","",
"Burkina Faso","BFA","Índice de facilidad para hacer negocios (1 = reglamentaciones más favorables para los negocios)","IC.BUS.EASE.XQ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","151","","","","",
"Bangladesh","BGD","Índice de facilidad para hacer negocios (1 = reglamentaciones más favorables para los negocios)","IC.BUS.EASE.XQ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","168","","","","",
"Bulgaria","BGR","Índice de facilidad para hacer negocios (1 = reglamentaciones más favorables para los negocios)","IC.BUS.EASE.XQ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","61","","","","",
