"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023",
"Aruba","ABW","Pago de impuestos (número)","IC.TAX.PAYM","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"","AFE","Pago de impuestos (número)","IC.TAX.PAYM","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","33.1666666666667","33.2916666666667","33.2083333333333","33","33","33.0416666666667","32.125","32.24","32.88","32.84","32.56","32.84","31.52","31.44","30.96","","","","",
"Afganistán","AFG","Pago de impuestos (número)","IC.TAX.PAYM","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","16","16","19","19","19","19","19","19","19","19","19","19","19","19","19","","","","",
"","AFW","Pago de impuestos (número)","IC.TAX.PAYM","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","48.4","47.1904761904762","46.9523809523809","46.9047619047619","46.8571428571429","46.1904761904762","46.2857142857143","45.6190476190476","45.1818181818182","45.7272727272727","45.4090909090909","44.1363636363636","43.5454545454545","44.6363636363636","42.9090909090909","","","","",
"Angola","AGO","Pago de impuestos (número)","IC.TAX.PAYM","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","32","32","32","32","32","32","32","32","32","32","32","31","31","31","31","","","","",
"Albania","ALB","Pago de impuestos (número)","IC.TAX.PAYM","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","45","44","44","44","44","44","44","44","42","34","34","34","35","35","35","","","","",
"Andorra","AND","Pago de impuestos (número)","IC.TAX.PAYM","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"El mundo árabe","ARB","Pago de impuestos (número)","IC.TAX.PAYM","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","26.9444444444444","26.8888888888889","24.75","24.4","24.4","23.75","23.15","21.952380952381","21.4285714285714","21.4761904761905","21.4761904761905","21.2857142857143","20.8095238095238","20.6666666666667","19.4761904761905","","","","",
"Emiratos Árabes Unidos","ARE","Pago de impuestos (número)","IC.TAX.PAYM","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","14","14","14","14","14","14","14","4","4","4","4","4","4","4","5","","","","",
"Argentina","ARG","Pago de impuestos (número)","IC.TAX.PAYM","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","62","19","19","9","9","9","9","9","9","9","9","9","9","9","9","","","","",
