"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023",
"Aruba","ABW","Personas desempleadas con educación avanzada (% del desempleo total)","SL.UEM.ADVN.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"","AFE","Personas desempleadas con educación avanzada (% del desempleo total)","SL.UEM.ADVN.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Afganistán","AFG","Personas desempleadas con educación avanzada (% del desempleo total)","SL.UEM.ADVN.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7.86","","","15.46","","","14.384","9.781","","",
"","AFW","Personas desempleadas con educación avanzada (% del desempleo total)","SL.UEM.ADVN.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","16.0632479305177","","","7.03748716794911","",
"Angola","AGO","Personas desempleadas con educación avanzada (% del desempleo total)","SL.UEM.ADVN.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","15.889","","","","","6.12","","12.64","","","5.751","","","","","18.604","","17.111","","",
"Albania","ALB","Personas desempleadas con educación avanzada (% del desempleo total)","SL.UEM.ADVN.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.32","","","4.207","","15.613","12.679","16.203","14.145","15.613","15.773","14.9","17.843","19.276","17.054","13.694","14.014","12.296","12.54","10.379","10.228","8.947",
"Andorra","AND","Personas desempleadas con educación avanzada (% del desempleo total)","SL.UEM.ADVN.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"El mundo árabe","ARB","Personas desempleadas con educación avanzada (% del desempleo total)","SL.UEM.ADVN.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Emiratos Árabes Unidos","ARE","Personas desempleadas con educación avanzada (% del desempleo total)","SL.UEM.ADVN.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.16","","","","","","","","","","4.05","","","","","","","","","","","","3.818","3.33","","","4.214","4.117","2.659",
"Argentina","ARG","Personas desempleadas con educación avanzada (% del desempleo total)","SL.UEM.ADVN.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","13.78","11.68","5.732","5.02","3.767","","3.826","4.055","3.045","2.915","2.991","3.243","3.249","","","3.268","3.64","3.874","4.718","3.426","2.898","2.494",
"Armenia","ARM","Personas desempleadas con educación avanzada (% del desempleo total)","SL.UEM.ADVN.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","26.08","18.787","20.074","20.211","19.968","18.477","17.219","17.471","17.529","16.815","17.817","11.58","9.405","7.323","7.432","","",
"Samoa Americana","ASM","Personas desempleadas con educación avanzada (% del desempleo total)","SL.UEM.ADVN.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Antigua y Barbuda","ATG","Personas desempleadas con educación avanzada (% del desempleo total)","SL.UEM.ADVN.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3.359","","","","","",
"Australia","AUS","Personas desempleadas con educación avanzada (% del desempleo total)","SL.UEM.ADVN.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.44","","4.08","3.63","","3.65","3.36","3.46","3.6","3.25","3.02","2.31","2.37","2.47","3.65","3.02","3.16","3.03","3.42","3.73","3.55","3.46","3.31","3.474","3.267","4.448","3.324","2.278","2.373",
"Austria","AUT","Personas desempleadas con educación avanzada (% del desempleo total)","SL.UEM.ADVN.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.84","2.219","2.816","2.718","2.335","2.162","2.244","1.892","1.764","2.376","3.415","3.03","2.78","2.707","1.874","2.574","2.531","2.568","2.393","3.352","4.012","3.953","3.614","3.212","3.297","3.066","3.281","4.138","3.49","3.6",
"Azerbaiyán","AZE","Personas desempleadas con educación avanzada (% del desempleo total)","SL.UEM.ADVN.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4.37","3.66","6.89","7.4","6.51","5.79","","5.15","5.19","4.95","4.84","4.63","4.65","6.64","5.46","5.11","",
"Burundi","BDI","Personas desempleadas con educación avanzada (% del desempleo total)","SL.UEM.ADVN.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","11.738","","","","","","","","14.828","","","","","","9.208","","","",
"Bélgica","BEL","Personas desempleadas con educación avanzada (% del desempleo total)","SL.UEM.ADVN.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.952","3.872","4.62","3.943","4.256","3.773","3.866","3.726","2.664","3.116","3.477","3.814","3.664","4.41","4.519","3.8","3.642","4.51","4.477","3.761","3.943","4.921","4.671","4.592","4.204","3.728","3.162","2.83","3.25","3.309","3.025","2.948",
