"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023",
"Aruba","ABW","Personas desempleadas con educación intermedia (% del desempleo total)","SL.UEM.INTM.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"","AFE","Personas desempleadas con educación intermedia (% del desempleo total)","SL.UEM.INTM.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Afganistán","AFG","Personas desempleadas con educación intermedia (% del desempleo total)","SL.UEM.INTM.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","10.621","","","16.155","","","12.569","8.879","","",
"","AFW","Personas desempleadas con educación intermedia (% del desempleo total)","SL.UEM.INTM.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","13.0116990538914","","","4.96087336109537","",
"Angola","AGO","Personas desempleadas con educación intermedia (% del desempleo total)","SL.UEM.INTM.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","17.843","","","","","9.145","","15.805","","","13.846","","","","","30.351","","29.437","","",
"Albania","ALB","Personas desempleadas con educación intermedia (% del desempleo total)","SL.UEM.INTM.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7.482","","","7.881","","18.233","15.606","15.602","15.76","14.602","14.834","18.797","21.78","20.502","17.652","15.294","14.232","14.259","13.559","13.279","12.355","12.824",
"Andorra","AND","Personas desempleadas con educación intermedia (% del desempleo total)","SL.UEM.INTM.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"El mundo árabe","ARB","Personas desempleadas con educación intermedia (% del desempleo total)","SL.UEM.INTM.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Emiratos Árabes Unidos","ARE","Personas desempleadas con educación intermedia (% del desempleo total)","SL.UEM.INTM.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.53","","","","","","","","","","3.9","","","","","","","","","","","","3.969","3.394","","","5.471","1.025","2.786",
"Argentina","ARG","Personas desempleadas con educación intermedia (% del desempleo total)","SL.UEM.INTM.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","21.16","17.94","15.534","12.825","11.854","","8.345","9.278","9.043","8.285","8.534","8.253","8.316","","","9.129","10.691","11.232","12.566","10.645","8.295","7.421",
