"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023",
"Aruba","ABW","Técnicos de investigación y desarrollo (por cada millón de personas)","SP.POP.TECH.RD.P6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"","AFE","Técnicos de investigación y desarrollo (por cada millón de personas)","SP.POP.TECH.RD.P6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Afganistán","AFG","Técnicos de investigación y desarrollo (por cada millón de personas)","SP.POP.TECH.RD.P6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"","AFW","Técnicos de investigación y desarrollo (por cada millón de personas)","SP.POP.TECH.RD.P6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Angola","AGO","Técnicos de investigación y desarrollo (por cada millón de personas)","SP.POP.TECH.RD.P6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","35.4243","","","","","5.20066","","","","","","","",
"Albania","ALB","Técnicos de investigación y desarrollo (por cada millón de personas)","SP.POP.TECH.RD.P6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","39.96433","","","","","","","","","","","","","","","",
"Andorra","AND","Técnicos de investigación y desarrollo (por cada millón de personas)","SP.POP.TECH.RD.P6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"El mundo árabe","ARB","Técnicos de investigación y desarrollo (por cada millón de personas)","SP.POP.TECH.RD.P6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Emiratos Árabes Unidos","ARE","Técnicos de investigación y desarrollo (por cada millón de personas)","SP.POP.TECH.RD.P6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","889.5377","","","","","",
"Argentina","ARG","Técnicos de investigación y desarrollo (por cada millón de personas)","SP.POP.TECH.RD.P6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","159.91058","170.72683","156.49672","158.28249","166.62351","161.13902","168.76765","180.99878","200.24204","207.45801","194.83778","205.4882","227.03476","247.45846","272.47976","307.17135","320.69368","318.78033","326.07927","328.60276","349.52207","398.051","","","","","",
"Armenia","ARM","Técnicos de investigación y desarrollo (por cada millón de personas)","SP.POP.TECH.RD.P6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Samoa Americana","ASM","Técnicos de investigación y desarrollo (por cada millón de personas)","SP.POP.TECH.RD.P6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Antigua y Barbuda","ATG","Técnicos de investigación y desarrollo (por cada millón de personas)","SP.POP.TECH.RD.P6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Australia","AUS","Técnicos de investigación y desarrollo (por cada millón de personas)","SP.POP.TECH.RD.P6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","814.21598","","795.87794","","819.47485","","961.32396","","885.3275","","1017.79166","","1136.46069","","","","","","","","","","","","","","","",
"Austria","AUT","Técnicos de investigación y desarrollo (por cada millón de personas)","SP.POP.TECH.RD.P6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","984.82163","","","","1253.18216","","1468.56351","","1788.90602","1957.95224","","1995.61358","","2168.99483","","2373.68529","","2579.54569","","2648.10229","","","","","","",
"Azerbaiyán","AZE","Técnicos de investigación y desarrollo (por cada millón de personas)","SP.POP.TECH.RD.P6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Burundi","BDI","Técnicos de investigación y desarrollo (por cada millón de personas)","SP.POP.TECH.RD.P6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","17.60764","","","","","","6.58591","","","","","",
