pais,continente,pago_impuestos,desempleo_total,empleos_agricultura,indice_facilidad_para_hacer_negocios,crecimiento_PIB_per_capita,contaminacion_aire,agricultura_silvicultura_pesca_valor_agregado,exportaciones_bienes_servicios_PIB,nuevas_empresas_registradas,empleadores_total,inflacion_deflactor_PIB,personas_desempleadas_educacion_basica,tierras_cultivables,trabajadores_asalariados,Medicos (cada 1.000 personas),inversion_extranjera_directa,crecimiento_poblacion_urbana,PIB_per_capita,comercio_servicios,exportaciones_bienes_servicios,puntaje,corrupcion,salud,libertad,industria,construccion,comercio_por_mayor_menor_transporte_alojamiento_comida,actividades_financieras_seguros,actividades_inmobiliarias,actividades_profesionales_cientificas_tecnicas_administrativas_apoyo,administracion_publica_defensa_educacion_salud_trabajo_social,artes_entretenimiento_recreacion_servicios_organizaciones_extraterritoriales,Cluster,PCA1,PCA2
Albania,Europe,0.9285128915259688,1.3078481809417484,2.567428828514468,0.280134562204946,0.2288907478168716,0.5270661879846199,3.179599944125246,-0.734499056314446,-0.4661409657254705,-0.737060766607095,-0.4656462301115062,0.0145285797904644,0.3489011575732127,-1.613106296664409,-1.003459645589904,0.2670910902885489,0.6852525446108434,-0.7890562240282777,0.1705864701039953,-0.5528040544920773,-0.287099893744992,-0.4797137019903594,0.4289440904158713,-0.3825931282475526,0.1388588007039941,0.3726183671255438,-0.7984203230360074,-0.4289617204214764,0.3517121751864234,-0.6616316053293698,-0.4770801021530632,-0.7998493224427048,0,-3.3443278035586976,-0.32115565122292383
Alemania,Europe,-0.6650598968747061,-0.6585642517534143,-0.8832677219122692,-1.0211356622309318,-0.338573900841524,0.404772079048336,-0.9353999793750686,-0.132108982174212,0.3920064700894152,0.6670694687243847,-0.2499405118818532,-0.2522298602493565,1.1534266367105266,0.8777786509410839,0.9730649681825108,-0.384163300283786,0.0430104381009768,1.030653085922676,-0.3814955859288818,0.19418849331276,0.6088852344787319,0.7709483078072198,0.9141934910295306,1.014507314120551,-0.3799628613933986,-0.9959621294586406,0.9830244652707196,-0.102996085905948,-0.979690380724328,1.4821676274763582,1.284868654791904,0.6311345564719075,1,3.389464840235104,0.35192395542331384
Antigua y Barbuda,North America,2.39459985685459,-0.0071051452059668,-1.0038591378739343,0.9524575114968163,-0.359120034672259,0.5270661879846199,-0.7765913199604477,0.9710617821458476,-0.4956290677448813,-2.06315257622443,-0.03769840018934,-0.326062744681972,-0.5850391700809318,-3.745916500227078,0.1404854859247063,0.1950245007668577,-0.8652428379369035,-0.2076491825016347,2.1486950252955883,0.0,-2.7679431382237443,-0.983226978662112,-2.181574836936091,-1.898826166476502,-0.099518719719132,-0.0618516317900701,-0.9050936636531768,0.3859523658673443,1.416834219915025,-0.4359685281919248,-0.4770801021530632,2.125717718893836,2,-2.7094526096818075,-2.563785945728757
Argentina,South America,-0.6650598968747061,-0.0747831186068893,-0.9497054604047792,1.2343993934579232,-0.050275768994385,0.467294073461277,0.0243567014350305,-1.3849640767119435,-0.4354327549552564,-0.0453820581191372,4.293335063932242,-0.3270913761988351,-0.1897330903866263,0.1715713683299433,0.8729101532136913,-0.3695603334596539,0.3673109077247709,-0.3227542053466325,-0.7637757171614629,-1.2695648342248949,0.5208375613534525,-0.3091688824725076,0.269241756036693,0.1210128451642057,0.3632141140434073,0.8070883660411584,-0.7984203230360074,0.3859523658673443,0.3517121751864234,-0.6616316053293698,-0.4770801021530632,-0.4818529049061243,0,-1.5945124374823574,1.081304908604369
Austria,Europe,-0.4738311622666251,-0.4725670500280154,-0.6118937822625243,-0.9126964768612754,-0.5352297532214163,0.2694235952515444,-0.8415388831177858,0.2917675047607431,-0.4181842701939024,1.2981140047150217,-0.1329475799606854,-0.2544014156738451,-0.0801744368880452,0.5433684272203956,1.64008240936941,-0.7280916163300672,0.6470995481845147,1.1267348722426138,-0.0290211117091184,-0.15902570833881,0.8340071259922304,0.5191916694713434,0.901908696077286,1.0632433760636244,-0.7024736243188047,-0.7352801301092721,1.303044487122227,0.1414781399806981,-0.8731781762514681,1.1662393194839349,0.9225988169153684,-0.1002572038622276,1,3.117842228223155,0.7980175720161375
Bahamas,North America,-0.027630781514436,0.4961814006392301,-0.7086956434254394,1.082584533940404,-0.5274026546192315,0.5270661879846199,-0.9099388084363114,-0.3782181433245482,0.0,-1.576394913676492,0.4473989375956336,0.5687323825981303,-1.1647841316701042,0.6255987516658053,-0.5701367726635835,-0.4952027428231286,0.052548687207559,0.4735153345555,0.2147465831457136,-0.4711017445759232,-2.7679431382237443,-0.983226978662112,-2.181574836936091,-1.898826166476502,-1.880339019350723,-1.58249662799472,-0.9050936636531768,0.3859523658673443,1.416834219915025,-0.4359685281919248,0.3462604384754263,3.652100523069422,2,-1.1602734636227552,-3.213242415980583
Barbados,North America,0.546055422309807,0.1527899282100695,-0.7538525438070672,1.2777750676057855,-0.942238880535024,0.5270661879846199,-0.6995604892389538,0.0,-0.4849177972378305,-1.6527490568212666,-0.6917427679525788,-0.2544014156738451,0.0801433630304269,0.5890922159390959,-0.096615708695356,0.6775861771824973,-0.9118742780135276,-0.0698877565343256,0.3613555778678536,0.0,-2.7679431382237443,-0.983226978662112,-2.181574836936091,-1.898826166476502,-1.74011694851359,-1.3652616285369126,-0.7984203230360074,1.2008664521561654,1.9493952422793253,-0.2103054510544798,0.3462604384754263,3.175105896764551,2,-1.0041441399301714,-3.0275015560907654
Belarús,Europe,-0.79254571994676,-1.223120464049331,-0.1204448338563397,-0.4355640612347868,-1.8824691001224696,0.5270661879846199,0.2673166885285943,0.4729911992305246,-0.4208299796956439,-1.7459460256597414,2.509014517535422,0.0022992939788703,0.7349783015548105,1.226480795031378,1.6073787963183668,-0.27947709655754,-0.0756877730031568,-0.6924927384766983,-0.3041428093956161,-0.3362068300773549,0.140131429260625,0.5516763969985533,-0.0440205152455428,-0.2634605323867064,1.695323786996172,2.1104983627880007,-0.7984203230360074,-0.4289617204214764,0.3517121751864234,-0.6616316053293698,-0.4770801021530632,1.1717284662840943,0,-1.1003620287168634,0.7897787067370747
Belice,North America,0.6097983338458339,-0.1949779489655713,0.5603689707478976,1.4295899271233048,-0.3516190651784986,0.5270661879846199,0.9860553359607976,0.2201264083773705,-0.4904403947414658,1.461489413943914,-0.6328614568212017,-0.6419669127496948,-0.9509105381460714,-0.2493153300908921,-1.0668228958763002,-0.3013815467937382,1.5044821623206237,-0.6835075233205616,0.1161040516032924,-1.1978122201299115,0.2116701636749149,-0.122381699191051,-1.7638918085597768,0.4567501607720445,-0.7585624526536581,-0.0618516317900701,-0.9050936636531768,-0.4289617204214764,0.0854316640042732,-0.887294682466815,-0.4770801021530632,-0.1638564873695437,0,-2.617951355080044,0.8998786382095352
Bolivia,South America,1.438456183814185,-0.8931708061986442,1.5634231085352075,1.7549074832322744,0.477401128436238,0.5270661879846199,1.1209132328821807,-0.5930628786409126,-0.4529637912167964,0.4728155457237081,-1.4633573353931757,-1.195027791649735,-0.8995221461094046,-1.7315842452356287,-0.7724903784169125,-0.3976283735891547,1.2564876855494869,-0.8349246047549355,-0.539975231928854,-1.8707560701887265,0.1786522862529347,-0.2848053368271003,-1.2540728180416287,0.792487476379883,1.3447686099033391,1.0243233654989652,-0.6917469824188381,-0.4289617204214764,0.0854316640042732,-0.887294682466815,-0.9710844265301568,-0.7998493224427048,0,-4.342525458514535,1.8264285681219234
