pais,continente,pago_impuestos,desempleo_total,empleos_agricultura,indice_facilidad_para_hacer_negocios,crecimiento_PIB_per_capita,contaminacion_aire,agricultura_silvicultura_pesca_valor_agregado,exportaciones_bienes_servicios_PIB,nuevas_empresas_registradas,empleadores_total,inflacion_deflactor_PIB,personas_desempleadas_educacion_basica,tierras_cultivables,trabajadores_asalariados,Medicos (cada 1.000 personas),inversion_extranjera_directa,crecimiento_poblacion_urbana,PIB_per_capita,comercio_servicios,exportaciones_bienes_servicios,puntaje,corrupcion,salud,libertad,industria,construccion,comercio_por_mayor_menor_transporte_alojamiento_comida,actividades_financieras_seguros,actividades_inmobiliarias,actividades_profesionales_cientificas_tecnicas_administrativas_apoyo,administracion_publica_defensa_educacion_salud_trabajo_social,artes_entretenimiento_recreacion_servicios_organizaciones_extraterritoriales
Albania,Europe,0.9285128915259689,1.3078481809417484,2.567428828514468,0.28013456220494604,0.22889074781687163,0.5270661879846199,3.179599944125246,-0.734499056314446,-0.4661409657254705,-0.737060766607095,-0.46564623011150624,0.014528579790464471,0.3489011575732127,-1.613106296664409,-1.003459645589904,0.26709109028854894,0.6852525446108434,-0.7890562240282777,0.17058647010399533,-0.5528040544920773,-0.287099893744992,-0.4797137019903594,0.4289440904158713,-0.38259312824755265,0.1388588007039941,0.37261836712554386,-0.7984203230360074,-0.42896172042147646,0.35171217518642345,-0.6616316053293698,-0.4770801021530632,-0.7998493224427048
Alemania,Europe,-0.6650598968747061,-0.6585642517534143,-0.8832677219122692,-1.0211356622309318,-0.338573900841524,0.40477207904833606,-0.9353999793750686,-0.13210898217421202,0.3920064700894152,0.6670694687243847,-0.2499405118818532,-0.2522298602493565,1.1534266367105266,0.8777786509410839,0.9730649681825109,-0.38416330028378604,0.04301043810097688,1.030653085922676,-0.3814955859288818,0.19418849331276006,0.6088852344787319,0.7709483078072198,0.9141934910295306,1.014507314120551,-0.3799628613933986,-0.9959621294586406,0.9830244652707195,-0.10299608590594807,-0.9796903807243281,1.4821676274763582,1.284868654791904,0.6311345564719075
Antigua y Barbuda,North America,2.39459985685459,-0.007105145205966889,-1.0038591378739345,0.9524575114968163,-0.35912003467225906,0.5270661879846199,-0.7765913199604477,0.9710617821458477,-0.49562906774488136,-2.06315257622443,-0.03769840018934004,-0.326062744681972,-0.5850391700809318,-3.745916500227078,0.1404854859247063,0.19502450076685773,-0.8652428379369035,-0.2076491825016347,2.1486950252955883,0.0,-2.7679431382237443,-0.9832269786621121,-2.181574836936091,-1.898826166476502,-0.09951871971913206,-0.0618516317900701,-0.9050936636531768,0.3859523658673443,1.416834219915025,-0.4359685281919248,-0.4770801021530632,2.125717718893836
Argentina,South America,-0.6650598968747061,-0.07478311860688931,-0.9497054604047793,1.2343993934579232,-0.05027576899438506,0.467294073461277,0.024356701435030527,-1.3849640767119435,-0.4354327549552564,-0.04538205811913721,4.293335063932242,-0.3270913761988351,-0.1897330903866263,0.17157136832994335,0.8729101532136913,-0.36956033345965394,0.3673109077247709,-0.3227542053466325,-0.7637757171614629,-1.2695648342248949,0.5208375613534525,-0.3091688824725076,0.269241756036693,0.12101284516420574,0.3632141140434073,0.8070883660411584,-0.7984203230360074,0.3859523658673443,0.35171217518642345,-0.6616316053293698,-0.4770801021530632,-0.4818529049061243
Austria,Europe,-0.4738311622666251,-0.47256705002801547,-0.6118937822625243,-0.9126964768612754,-0.5352297532214163,0.2694235952515444,-0.8415388831177858,0.2917675047607431,-0.4181842701939024,1.2981140047150215,-0.13294757996068543,-0.25440141567384517,-0.08017443688804525,0.5433684272203956,1.64008240936941,-0.7280916163300672,0.6470995481845147,1.1267348722426138,-0.029021111709118457,-0.15902570833881002,0.8340071259922304,0.5191916694713434,0.9019086960772861,1.0632433760636244,-0.7024736243188047,-0.7352801301092721,1.3030444871222273,0.14147813998069814,-0.8731781762514681,1.1662393194839349,0.9225988169153683,-0.1002572038622276
Bahamas,North America,-0.02763078151443608,0.49618140063923016,-0.7086956434254394,1.082584533940404,-0.5274026546192315,0.5270661879846199,-0.9099388084363114,-0.3782181433245482,0.0,-1.576394913676492,0.4473989375956336,0.5687323825981303,-1.1647841316701042,0.6255987516658053,-0.5701367726635835,-0.4952027428231286,0.052548687207559064,0.4735153345555,0.21474658314571363,-0.4711017445759232,-2.7679431382237443,-0.9832269786621121,-2.181574836936091,-1.898826166476502,-1.880339019350723,-1.58249662799472,-0.9050936636531768,0.3859523658673443,1.416834219915025,-0.4359685281919248,0.3462604384754263,3.652100523069422
Barbados,North America,0.546055422309807,0.1527899282100695,-0.7538525438070672,1.2777750676057857,-0.9422388805350241,0.5270661879846199,-0.6995604892389538,0.0,-0.4849177972378305,-1.6527490568212666,-0.6917427679525788,-0.25440141567384517,0.08014336303042699,0.5890922159390959,-0.09661570869535607,0.6775861771824973,-0.9118742780135275,-0.06988775653432565,0.36135557786785366,0.0,-2.7679431382237443,-0.9832269786621121,-2.181574836936091,-1.898826166476502,-1.74011694851359,-1.3652616285369126,-0.7984203230360074,1.2008664521561654,1.9493952422793253,-0.21030545105447984,0.3462604384754263,3.175105896764551
Belarús,Europe,-0.79254571994676,-1.223120464049331,-0.12044483385633979,-0.4355640612347868,-1.8824691001224694,0.5270661879846199,0.2673166885285943,0.4729911992305246,-0.42082997969564395,-1.7459460256597414,2.509014517535422,0.002299293978870356,0.7349783015548105,1.2264807950313779,1.6073787963183668,-0.27947709655754005,-0.07568777300315684,-0.6924927384766983,-0.30414280939561616,-0.33620683007735497,0.14013142926062505,0.5516763969985533,-0.044020515245542825,-0.26346053238670647,1.6953237869961721,2.1104983627880007,-0.7984203230360074,-0.42896172042147646,0.35171217518642345,-0.6616316053293698,-0.4770801021530632,1.1717284662840943
Belice,North America,0.6097983338458339,-0.19497794896557133,0.5603689707478976,1.4295899271233048,-0.3516190651784986,0.5270661879846199,0.9860553359607975,0.2201264083773705,-0.49044039474146583,1.4614894139439139,-0.6328614568212017,-0.6419669127496948,-0.9509105381460714,-0.24931533009089213,-1.0668228958763002,-0.30138154679373824,1.5044821623206235,-0.6835075233205616,0.11610405160329247,-1.1978122201299117,0.2116701636749149,-0.12238169919105107,-1.7638918085597768,0.45675016077204456,-0.7585624526536581,-0.0618516317900701,-0.9050936636531768,-0.42896172042147646,0.08543166400427325,-0.887294682466815,-0.4770801021530632,-0.16385648736954375
Bolivia,South America,1.438456183814185,-0.8931708061986442,1.5634231085352077,1.7549074832322744,0.477401128436238,0.5270661879846199,1.1209132328821807,-0.5930628786409126,-0.4529637912167964,0.47281554572370815,-1.4633573353931755,-1.195027791649735,-0.8995221461094046,-1.7315842452356287,-0.7724903784169125,-0.3976283735891547,1.2564876855494869,-0.8349246047549355,-0.539975231928854,-1.8707560701887265,0.17865228625293478,-0.28480533682710035,-1.2540728180416287,0.792487476379883,1.3447686099033391,1.0243233654989652,-0.6917469824188381,-0.42896172042147646,0.08543166400427325,-0.887294682466815,-0.9710844265301567,-0.7998493224427048
