Country Name,Region,Continent,Desempleo hombres,Pago de impuestos (numero),Desempleo mujeres,"Desempleo, total",Empleos agricultura,Indice facilidad para hacer negocios,Crecimiento PIB per capita,Contaminación aire,"Agricultura, silvicultura y pesca, valor agregado",Exportaciones bienes y servicios (% del PIB),Nuevas empresas registradas (numero),"Empleadores, total","Inflación, deflactor del PIB (%) anual",Personas desempleadas educación basica,Tierras cultivables,"Trabajadores asalariados (empleados), total",Medicos (cada 1.000 personas),Inversión extranjera directa,Crecimiento población urbana,"Empleo vulnerable, total",Personas desempleadas educación avanzada,PIB per capita US a precios actuales,Comercio servicios,Empleados agricultura - hombres,Exportaciones de bienes y servicios(% anual),Personas desempleadas educación intermedia,Empleados agricultura - mujeres,Score,Perceptions of corruption,Health,Freedom,"Agricultura, silvicultura y pesca",Industria (incluye Manufactura),Construcción,"Comercio al por mayor y al por menor, transporte, alojamiento y servicios de comida",Información y comunicación,Actividades financieras y de seguros,Actividades inmobiliarias,"Actividades profesionales, científicas y técnicas; actividades administrativas y de apoyo","Administración pública, defensa, educación, actividades de salud humana y de trabajo social","Artes, entretenimiento y recreación; otras actividades de servicios; actividades de organizaciones y cuerpos extraterritoriales"
Albania,Southern Europe,Europe,17.248,34.0,17.122,17.193,41.283,82.0,2.517,100.0,19.78,27.267,2567.0,2.362,0.564,13.5,22.449,41.188,1.219,8.691,1.485,56.451,19.276,3952.804,34.387,36.407,0.969,20.502,45.79327607607488,4.959,0.064,0.813,0.357,0.186,0.214,0.12,0.05,0.2,0.02,0.06,0.04,0.15,0.02
Alemania,Western Europe,Europe,4.962,9.0,4.205,4.612,1.394,22.0,0.777,95.953,0.709,42.604,69384.0,4.863,1.685,11.166,33.956,89.291,4.12,1.823,0.879,5.846,2.263,41911.011,17.272,1.775,4.873,4.231,0.954,6.75,0.218,0.892,0.615,0.012,0.177,0.057,0.217,0.032,0.024,0.01,0.135,0.257,0.065
Antigua y Barbuda,Caribbean,North America,0.0,57.0,0.0,8.78,0.0,113.0,0.714,100.0,1.445,70.691,271.0,0.0,2.788,10.52,9.091,0.0,2.898,7.931,0.022,0.0,3.359,16080.658,95.71,0.0,3.858114536790422,10.278,0.0,0.0,0.002,0.388,0.077,0.021,0.197,0.1,0.04,0.3,0.03,0.1,0.05,0.15,0.112
Argentina,South America,South America,6.798,9.0,8.706,8.347,0.626,126.0,1.661,98.022,5.157,10.706,4958.0,3.594,25.29592678621194,10.511,14.745,75.653,3.973,1.977,1.185,20.753,3.268,13679.626,5.421,0.875,-2.777,9.129,0.258,6.574,0.085,0.787,0.45,0.06,0.23,0.14,0.05,0.2,0.03,0.06,0.04,0.15,0.03
Austria,Western Europe,Europe,6.179,12.0,5.372,5.802,4.531,27.0,0.174,91.474,1.144,53.396,6301.0,5.987,2.293,11.147,16.312,82.833,5.099,-1.804,1.449,11.181,3.953,43915.228,28.199,4.816,3.027,5.508,4.21,7.2,0.187,0.89,0.624,0.033,0.154,0.069,0.247,0.03,0.027,0.014,0.121,0.235,0.042
Bahamas,Caribbean,North America,11.082,19.0,12.996,12.0,3.412,119.0,0.198,100.0,0.827,36.338,38861.626782054984,0.867,5.309,18.349,0.799,84.421,1.855,0.652,0.888,14.711,3.346,30289.402,35.756,5.331,1.396,9.77,1.287,0.0,0.002,0.388,0.077,0.02,0.07,0.03,0.04,0.3,0.03,0.1,0.05,0.2,0.16
Barbados,Caribbean,North America,10.632,28.0,8.969,9.803,2.89,128.0,-1.074,100.0,1.802,45.96752729997707,1105.0,0.731,-0.611,11.147,18.605,83.716,2.55,13.02,-0.022,15.552,5.232,18954.291,40.301,4.196,3.858114536790422,10.628,1.6,0.0,0.002,0.388,0.077,0.015,0.08,0.04,0.05,0.25,0.04,0.12,0.06,0.2,0.145
Belarús,Eastern Europe,Europe,7.486,7.0,4.255,1.0,10.212,49.0,-3.957,100.0,6.283,58.01,6095.0,0.565,16.023,13.393,27.971,96.025,5.051,2.927,0.767,3.41,2.994,5967.069,19.67,13.411,2.101,6.943,7.081,5.813,0.191,0.736,0.379,0.073,0.325,0.2,0.05,0.2,0.02,0.06,0.04,0.15,0.082
Belice,Central America,North America,5.446,29.0,11.093,7.578,18.082,135.0,0.737,100.0,9.614,51.572,675.0,6.278,-0.305,7.756,3.858,67.525,1.126,2.696,2.258,26.197,5.347,6154.496,32.698,25.81,-2.402,9.765,4.532,5.956,0.108,0.456,0.512,0.22,0.15,0.1,0.04,0.2,0.02,0.05,0.03,0.15,0.04
Bolivia,South America,South America,2.619,42.0,3.788,3.111,29.677,150.0,3.279,100.0,10.239,30.868,3593.0,4.517,-4.621,2.917,4.593,38.9,1.558,1.681,2.024,56.583,3.77,2996.013,12.359,28.841,-5.919,4.593,30.842,5.89,0.088,0.539,0.574,0.13,0.3,0.15,0.06,0.18,0.02,0.05,0.03,0.12,0.02
Bosnia y Herzegovina,Southern Europe,Europe,25.66,45.0,30.549,27.695,17.876,90.0,5.687,100.0,6.038,35.115,2323.0,4.012,1.366,28.928,19.961,75.778,2.103,2.335,-0.599,20.211,20.455,4662.259,13.735,18.462,9.783,29.199,16.995,4.949,0.002,0.791,0.092,0.068,0.289,0.12,0.05,0.2,0.02,0.06,0.04,0.15,0.023
Brasil,South America,South America,7.233,9.61,10.313,8.538,9.332,124.0,-4.306,74.928,4.319,12.9,349971.0,4.272,7.566,8.827,6.523,69.471,2.158,3.592,1.116,26.257,5.079,8936.197,6.271,12.699,6.82,7.408,4.597,6.983,0.175,0.697,0.49,0.05,0.2,0.1,0.04,0.25,0.03,0.07,0.05,0.15,0.06
