Country Name;Continent;Médicos (por cada 1.000 personas);Personas desempleadas educación avanzada;Empleadores total;Desempleo hombres;Índice facilidad para hacer negocios;Crecimiento población urbana;Trabajadores asalariados (empleados), total;Crecimiento PIB per cápita;Personas desempleadas educación intermedia;Empleos agricultura;Empleo vulnerable total;Desempleo total;Desempleo mujeres;Nuevas empresas registradas;Empleados agricultura mujeres;Personas desempleadas educación básica;Empleados agricultura hombres
Albania;Europe;1.219;19.276;2.362;17.248;82.0;1.485;41.188;2.517;20.502;41.283;56.451;17.193;17.122;2567.0;47.636;13.5;36.407
Alemania;Europe;4.12;2.263;4.863;4.962;22.0;879;89.291;777;4.231;1.394;5.846;4.612;4.205;69384.0;954;11.166;1.775
Andorra;Europe;3.626;0.0;0.0;0.0;0.0;-2.252;0.0;3.631;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Argentina;South America;3.973;3.268;3.594;6.798;126.0;1.185;75.653;1.661;9.129;626;20.753;8.347;8.706;4958.0;258;10.511;875
Aruba;North America;0.0;0.0;0.0;0.0;0.0;1.179;0.0;-1.636;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Austria;Europe;5.099;3.953;5.987;6.179;27.0;1.449;82.833;174;5.508;4.531;11.181;5.802;5.372;6301.0;4.21;11.147;4.816
Bahamas;North America;1.855;3.346;867;11.082;119.0;888;84.421;198;9.77;3.412;14.711;12.0;12.996;0.0;1.287;18.349;5.331
Barbados;North America;2.55;5.232;731;10.632;128.0;-22;83.716;-1.074;10.628;2.89;15.552;9.803;8.969;1105.0;1.6;11.147;4.196
Belarús;Europe;5.051;2.994;565;7.486;49.0;767;96.025;-3.957;6.943;10.212;3.41;1.0;4.255;6095.0;7.081;13.393;13.411
Belice;North America;1.126;5.347;6.278;5.446;135.0;2.258;67.525;737;9.765;18.082;26.197;7.578;11.093;675.0;4.532;7.756;25.81
Bolivia;South America;1.558;3.77;4.517;2.619;150.0;2.024;38.9;3.279;4.593;29.677;56.583;3.111;3.788;3593.0;30.842;2.917;28.841
Bosnia y Herzegovina;Europe;2.103;20.455;4.012;25.66;90.0;-599;75.778;5.687;29.199;17.876;20.211;27.695;30.549;2323.0;16.995;28.928;18.462
Brasil;South America;2.158;5.079;4.272;7.233;124.0;1.116;69.471;-4.306;7.408;9.332;26.257;8.538;10.313;349971.0;4.597;8.827;12.699
Bulgaria;Europe;3.968;3.922;4.359;9.777;61.0;-179;87.711;4.059;8.384;6.856;7.93;9.143;8.417;42634.0;4.331;23.714;9.092
Bélgica;Europe;3.025;4.592;3.552;9.093;46.0;623;84.821;888;8.699;1.177;11.627;8.482;7.768;22148.0;729;15.995;1.565
Canadá;North America;2.539;5.321;4.525;7.51;23.0;811;85.001;-112;8.246;1.644;10.474;6.945;6.305;3052.0;1.034;14.13;2.19
Chile;South America;2.159;4.839;4.137;5.828;59.0;1.087;75.317;1.114;7.12;8.21;20.546;6.313;7.014;64781.0;4.319;6.244;10.869
Colombia;South America;2.015;10.61;4.125;6.719;67.0;1.303;48.603;2.069;10.1;16.32;47.272;8.572;11.119;60456.0;6.694;6.62;22.994
Costa Rica;North America;1.778;5.848;2.896;7.1;74.0;2.268;70.571;2.557;10.672;14.387;26.533;8.415;10.338;13154.0;7.377;8.969;19.012
Croacia;Europe;3.156;9.24;5.358;15.547;51.0;-0.78;82.787;3.552;18.042;9.228;11.855;16.175;16.899;12558.0;7.428;21.353;10.766
Cuba;North America;7.759;0.0;4.743;2.281;0.0;-49;75.576;4.538;0.0;18.667;19.68;2.4;2.579;0.0;8.176;0.0;25.629
