Country Name,Region,Continent,Crecimiento PIB per cápita_2015,Crecimiento PIB per cápita_2016,Crecimiento PIB per cápita_2017,Crecimiento PIB per cápita_2018,Crecimiento PIB per cápita_2019,Crecimiento PIB per cápita_2020,Crecimiento PIB per cápita_2021,Crecimiento PIB per cápita_2022,Crecimiento PIB per cápita_2023,Crecimiento población urbana_2015,Crecimiento población urbana_2016,Crecimiento población urbana_2017,Crecimiento población urbana_2018,Crecimiento población urbana_2019,Crecimiento población urbana_2020,Crecimiento población urbana_2021,Crecimiento población urbana_2022,Crecimiento población urbana_2023,Desempleo hombres_2015,Desempleo hombres_2016,Desempleo hombres_2017,Desempleo hombres_2018,Desempleo hombres_2019,Desempleo hombres_2020,Desempleo hombres_2021,Desempleo hombres_2022,Desempleo hombres_2023,Desempleo mujeres_2015,Desempleo mujeres_2016,Desempleo mujeres_2017,Desempleo mujeres_2018,Desempleo mujeres_2019,Desempleo mujeres_2020,Desempleo mujeres_2021,Desempleo mujeres_2022,Desempleo mujeres_2023,Desempleo total_2015,Desempleo total_2016,Desempleo total_2017,Desempleo total_2018,Desempleo total_2019,Desempleo total_2020,Desempleo total_2021,Desempleo total_2022,Desempleo total_2023,Empleadores total_2015,Empleadores total_2016,Empleadores total_2017,Empleadores total_2018,Empleadores total_2019,Empleadores total_2020,Empleadores total_2021,Empleadores total_2022,Empleadores total_2023,Empleados agricultura hombres_2015,Empleados agricultura hombres_2016,Empleados agricultura hombres_2017,Empleados agricultura hombres_2018,Empleados agricultura hombres_2019,Empleados agricultura hombres_2020,Empleados agricultura hombres_2021,Empleados agricultura hombres_2022,Empleados agricultura hombres_2023,Empleados agricultura mujeres_2015,Empleados agricultura mujeres_2016,Empleados agricultura mujeres_2017,Empleados agricultura mujeres_2018,Empleados agricultura mujeres_2019,Empleados agricultura mujeres_2020,Empleados agricultura mujeres_2021,Empleados agricultura mujeres_2022,Empleados agricultura mujeres_2023,Empleo vulnerable total_2015,Empleo vulnerable total_2016,Empleo vulnerable total_2017,Empleo vulnerable total_2018,Empleo vulnerable total_2019,Empleo vulnerable total_2020,Empleo vulnerable total_2021,Empleo vulnerable total_2022,Empleo vulnerable total_2023,Empleos agricultura_2015,Empleos agricultura_2016,Empleos agricultura_2017,Empleos agricultura_2018,Empleos agricultura_2019,Empleos agricultura_2020,Empleos agricultura_2021,Empleos agricultura_2022,Empleos agricultura_2023,Médicos (por cada 1.000 personas)_2015,Médicos (por cada 1.000 personas)_2016,Médicos (por cada 1.000 personas)_2017,Médicos (por cada 1.000 personas)_2018,Médicos (por cada 1.000 personas)_2019,Médicos (por cada 1.000 personas)_2020,Médicos (por cada 1.000 personas)_2021,Médicos (por cada 1.000 personas)_2022,Nuevas empresas registradas_2015,Nuevas empresas registradas_2016,Nuevas empresas registradas_2017,Nuevas empresas registradas_2018,Nuevas empresas registradas_2019,Nuevas empresas registradas_2020,Nuevas empresas registradas_2021,Nuevas empresas registradas_2022,Personas desempleadas educación avanzada_2015,Personas desempleadas educación avanzada_2016,Personas desempleadas educación avanzada_2017,Personas desempleadas educación avanzada_2018,Personas desempleadas educación avanzada_2019,Personas desempleadas educación avanzada_2020,Personas desempleadas educación avanzada_2021,Personas desempleadas educación avanzada_2022,Personas desempleadas educación avanzada_2023,Personas desempleadas educación básica_2015,Personas desempleadas educación básica_2016,Personas desempleadas educación básica_2017,Personas desempleadas educación básica_2018,Personas desempleadas educación básica_2019,Personas desempleadas educación básica_2020,Personas desempleadas educación básica_2021,Personas desempleadas educación básica_2022,Personas desempleadas educación básica_2023,Personas desempleadas educación intermedia_2015,Personas desempleadas educación intermedia_2016,Personas desempleadas educación intermedia_2017,Personas desempleadas educación intermedia_2018,Personas desempleadas educación intermedia_2019,Personas desempleadas educación intermedia_2020,Personas desempleadas educación intermedia_2021,Personas desempleadas educación intermedia_2022,Personas desempleadas educación intermedia_2023,"Trabajadores asalariados (empleados), total_2015","Trabajadores asalariados (empleados), total_2016","Trabajadores asalariados (empleados), total_2017","Trabajadores asalariados (empleados), total_2018","Trabajadores asalariados (empleados), total_2019","Trabajadores asalariados (empleados), total_2020","Trabajadores asalariados (empleados), total_2021","Trabajadores asalariados (empleados), total_2022","Trabajadores asalariados (empleados), total_2023",Trabajadores salud (cada 1.000 personas)_2015,Trabajadores salud (cada 1.000 personas)_2016,Técnicos investigación y desarrollo_2015,Técnicos investigación y desarrollo_2016,Técnicos investigación y desarrollo_2017,Técnicos investigación y desarrollo_2018,Índice facilidad para hacer negocios_2019
Afganistán,Southern Asia,Asia,-1.665,-0.3,-0.196,-1.714,0.856,-5.383,-22.584,-7.577,0.541,3.995,3.407,3.723,3.876,3.995,4.204,3.457,2.577,3.32,8.401,9.399,10.363,10.198,10.031,10.456,10.911,13.168,13.066,11.611,12.834,14.018,14.783,15.549,16.778,16.945,26.742,26.57,,,11.184,,,11.71,5.679,,,2.444,2.485,2.626,2.276,1.901,1.643,1.526,1.455,1.423,38.947,38.701,37.707,39.257,41.711,44.178,44.365,45.453,45.343,66.072,66.069,66.595,63.169,58.51,53.836,53.756,47.846,47.418,82.841,81.34,80.015,80.742,81.641,82.691,80.742,80.746,80.294,44.297,44.369,43.989,44.248,45.051,45.983,45.955,45.593,45.464,0.291,0.284,0.245,0.304,0.214,0.254,,,2255.0,2448.0,3022.0,4274.0,,,,,,,15.46,,,14.384,9.781,,,,,12.283,,,11.103,6.754,,,,,16.155,,,12.569,8.879,,,14.716,16.175,17.359,16.981,16.458,15.666,17.732,17.799,18.283,,,,,,,173.0
Albania,Southern Europe,Europe,2.517,3.48,3.898,4.276,2.498,-2.757,9.984,6.109,5.137,1.485,1.544,1.541,1.317,1.071,0.858,0.443,0.094,0.104,17.248,16.162,14.466,12.635,11.587,11.724,11.307,9.917,9.888,17.122,14.49,12.524,11.888,11.318,11.648,11.678,10.405,10.376,17.193,15.418,13.616,12.304,11.466,11.639,11.474,10.785,10.669,2.362,2.702,2.99,3.294,3.069,3.427,3.962,3.981,4.061,36.407,35.833,34.618,33.297,32.206,32.227,31.696,31.191,30.798,47.636,45.19,42.426,42.261,41.585,41.248,41.314,40.48,39.928,56.451,55.902,52.832,52.187,51.199,50.278,48.151,48.979,48.302,41.283,40.041,38.078,37.286,36.417,36.265,36.017,35.357,34.893,,1.219,,,1.651,1.883,,,2567.0,2679.0,2983.0,2990.0,2998.0,2757.0,3296.0,3365.0,19.276,17.054,13.694,14.014,12.296,12.54,10.379,10.228,8.947,13.5,12.916,12.24,9.907,8.687,9.346,10.109,9.437,9.694,20.502,17.652,15.294,14.232,14.259,13.559,13.279,12.355,12.824,41.188,41.396,44.178,44.519,45.732,46.294,47.886,47.04,47.637,,,,,,,82.0
Alemania,Western Europe,Europe,0.777,1.472,2.333,0.813,0.76,-4.173,3.626,0.642,0.354,0.879,0.838,0.422,0.367,0.308,0.181,0.16,0.855,-0.469,4.962,4.433,4.182,3.798,3.541,4.222,3.987,3.401,3.27,4.205,3.722,3.317,2.902,2.724,3.487,3.14,2.797,2.836,4.612,4.104,3.781,3.384,3.163,3.881,3.594,3.12,3.068,4.863,4.79,4.696,4.558,4.428,4.023,4.028,4.076,3.978,1.775,1.67,1.621,1.6,1.528,1.568,1.523,1.55,1.53,0.954,0.891,0.881,0.846,0.832,0.823,0.929,0.886,0.82,5.846,5.737,5.591,5.362,5.147,4.852,4.821,4.774,4.649,1.394,1.308,1.277,1.25,1.204,1.221,1.246,1.24,1.199,4.12,4.187,4.251,4.311,4.394,4.459,4.518,,69384.0,70720.0,71801.0,72844.0,73991.0,72774.0,82991.0,74773.0,2.263,2.179,1.99,1.906,1.872,2.544,2.404,1.877,2.149,11.166,10.1,9.615,8.852,7.947,9.439,7.686,6.788,6.322,4.231,3.656,3.301,2.856,2.705,3.2,3.097,2.704,2.571,89.291,89.473,89.713,90.081,90.424,91.125,91.152,91.151,91.373,,,1909.854,1945.705,2006.653,,22.0
Andorra,Southern Europe,Europe,3.631,3.7,-1.806,-0.302,0.265,-12.224,6.927,7.721,1.123,-2.252,-0.1,2.057,1.779,1.642,1.1,1.198,1.644,1.392,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.626,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Angola,Middle Africa,Africa,-2.631,-6.003,-3.621,-4.666,-4.01,-8.672,-1.97,-0.144,-2.063,4.738,4.678,4.61,4.489,4.395,4.242,4.127,4.059,3.968,15.464,15.788,16.068,16.298,16.447,16.764,15.817,14.472,14.405,17.528,17.369,17.158,16.892,16.547,16.614,15.781,14.736,14.671,,,,,16.497,,15.799,14.124,,4.871,4.931,4.967,4.991,4.993,4.971,4.962,4.943,4.923,46.193,46.62,46.731,47.05,47.327,49.811,52.137,52.032,52.03,67.783,65.991,64.029,61.874,59.575,60.337,61.266,60.607,60.525,58.843,59.018,59.341,59.634,60.072,60.564,60.378,60.304,60.578,56.796,56.164,55.283,54.403,53.423,55.059,56.708,56.272,56.224,,,0.212,0.211,,,,0.244,,,,,,,,23342.0,,,,,18.604,,17.111,,,,,,,15.03,,12.263,,,,,,,30.351,,29.437,,,36.286,36.051,35.692,35.375,34.935,34.465,34.66,34.753,34.499,,,,5.201,,,177.0
Antigua y Barbuda,,,0.714,3.452,1.898,6.414,2.606,-19.306,7.602,8.937,3.332,0.022,0.009,0.013,0.045,0.103,0.228,0.329,0.39,0.455,,,,,,,,,,,,,,,,,,,,,,8.78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.898,,,,,,271.0,296.0,380.0,280.0,242.0,255.0,262.0,277.0,,,,3.359,,,,,,,,,10.52,,,,,,,,,10.278,,,,,,,,,,,,,,,,,,,,,113.0
Arabia Saudita,Western Asia,Asia,-0.773,-1.861,0.836,5.869,1.543,-8.131,7.697,2.84,-4.004,5.452,4.01,0.339,-2.289,-0.176,5.097,-2.203,4.68,3.589,2.85,2.884,3.585,3.552,2.74,4.22,3.74,2.896,2.009,25.414,24.341,23.683,22.892,23.288,24.714,18.607,16.864,12.322,5.6,5.6,5.89,6.029,5.636,7.66,6.621,5.589,4.008,0.891,0.851,0.818,0.938,1.991,3.072,4.329,4.65,4.959,6.525,5.038,4.234,3.341,3.678,3.509,3.109,3.385,3.346,0.332,0.285,0.704,0.592,1.854,1.036,0.484,0.434,0.445,2.236,2.182,2.091,1.629,3.241,2.465,2.245,1.795,1.871,5.928,4.556,3.906,3.052,3.469,3.171,2.666,2.884,2.832,2.237,2.267,2.409,2.514,2.633,2.648,2.789,3.077,11933.0,11589.0,12396.0,13817.0,17077.0,15897.0,22382.0,23297.0,,,10.426,10.718,10.92,12.014,8.798,7.999,5.87,,,1.904,1.868,1.39,2.803,4.076,2.492,1.34,,,7.019,6.698,6.059,8.077,7.107,5.482,4.532,96.873,96.967,97.091,97.432,94.768,94.464,93.426,93.555,93.171,,,,,,,63.0
Argelia,,,1.1,1.786,-0.542,-0.546,-0.94,-6.612,2.133,1.968,2.551,2.945,2.914,2.858,2.735,2.608,2.452,2.333,2.273,2.16,10.028,8.408,10.08,10.215,10.337,12.026,11.638,10.39,9.79,16.741,18.763,21.252,21.477,21.677,24.032,23.351,22.126,21.144,11.206,10.202,,,,,,,,4.359,4.489,4.619,4.656,4.673,4.67,4.655,4.635,4.617,9.94,9.573,11.329,11.162,10.841,11.021,10.981,10.628,10.426,3.219,2.952,3.737,3.62,3.441,3.417,3.444,3.255,3.178,27.146,27.122,27.112,26.985,27.191,27.502,27.456,27.415,27.477,8.834,8.535,10.161,10.012,9.721,9.884,9.844,9.536,9.337,,1.842,,1.732,0.987,,,,14140.0,14816.0,16683.0,15708.0,14401.0,13981.0,16926.0,17867.0,,,17.75,,,,,,,,,10.93,,,,,,,,,11.26,,,,,,,68.495,68.389,68.269,68.359,68.137,67.828,67.89,67.95,67.906,,,,,41.862,,157.0
Argentina,South America,South America,1.661,-3.025,1.916,-3.416,-2.695,-10.336,10.149,5.048,-1.893,1.185,1.104,1.014,0.955,0.843,0.615,0.394,0.339,0.413,6.798,7.288,7.544,8.246,9.202,10.778,7.915,6.145,5.641,8.706,9.224,9.485,10.563,10.718,12.394,9.852,7.682,6.793,,,8.347,9.221,9.843,11.461,8.736,6.805,6.139,3.594,3.698,3.834,3.911,3.792,2.933,3.57,3.431,3.31,0.875,0.854,0.885,0.883,0.864,0.84,0.812,0.845,0.791,0.258,0.251,0.265,0.258,0.256,0.279,0.237,0.378,0.377,20.753,21.086,21.506,21.618,22.715,24.067,24.019,23.28,22.443,0.626,0.609,0.631,0.624,0.61,0.606,0.571,0.646,0.613,3.973,3.987,3.979,,4.068,3.895,,4.082,4958.0,5885.0,6209.0,5667.0,,,,,,,3.268,3.64,3.874,4.718,3.426,2.898,2.494,,,10.511,11.082,12.303,14.823,10.395,7.777,7.187,,,9.129,10.691,11.232,12.566,10.645,8.295,7.421,75.653,75.216,74.66,74.471,73.493,73.0,72.411,73.29,74.247,,,326.079,328.603,349.522,398.051,126.0
Armenia,,,3.516,0.612,7.965,5.569,7.836,-7.169,5.771,12.338,7.514,-0.348,-0.415,-0.399,-0.277,-0.108,0.115,0.213,0.456,0.989,17.326,17.742,17.923,17.682,17.391,19.164,15.711,14.099,13.957,19.185,17.494,17.488,20.239,19.191,17.233,15.236,12.668,12.542,18.261,17.617,17.705,10.589,9.794,8.055,8.418,,,0.556,0.577,0.606,0.619,0.941,0.898,0.82,1.063,1.071,39.529,39.294,39.018,39.21,37.531,43.14,39.861,39.501,39.197,64.563,64.094,64.131,64.119,61.681,60.983,65.785,65.126,65.026,63.51,63.196,62.973,62.721,59.927,60.236,61.912,60.211,59.835,51.973,51.773,51.683,51.522,49.646,52.384,53.101,52.507,52.296,2.962,2.94,2.972,2.968,3.117,,,,3493.0,3510.0,4443.0,6137.0,6877.0,5700.0,6768.0,11723.0,17.529,16.815,17.817,11.58,9.405,7.323,7.432,,,15.244,14.57,17.403,7.052,11.576,7.806,7.087,,,18.835,18.226,17.683,10.008,9.936,9.026,9.761,,,35.933,36.227,36.421,36.66,39.132,38.866,37.268,38.725,39.094,,,,,,,47.0
