Country Name,Happiness_Score 2015,Happiness_Score 2016,Happiness_Score 2017,Happiness_Score 2018,Happiness_Score 2019,Family 2015,Family 2016,Family 2017,Family 2018,Family 2019,Freedom 2015,Freedom 2016,Freedom 2017,Freedom 2018,Freedom 2019,Trust_(Government_Corruption) 2015,Trust_(Government_Corruption) 2016,Trust_(Government_Corruption) 2017,Trust_(Government_Corruption) 2018,Trust_(Government_Corruption) 2019,Generosity 2015,Generosity 2016,Generosity 2017,Generosity 2018,Generosity 2019
Afganistán,3.575,3.36,3.79399991035461,3.632,3.203,0.30285,0.11037,0.581543326377869,0.537,0.517,0.23414,0.1643,0.106179520487785,0.085,0.0,0.09719,0.07112,0.0611578300595284,0.036,0.025,0.3651,0.31268,0.311870932579041,0.191,0.158
Albania,4.959,4.655,4.64400005340576,4.586,4.719,0.80434,0.50163,0.803685247898102,0.817,0.848,0.35733,0.31866,0.381498634815216,0.419,0.383,0.06413,0.05301,0.0398642159998417,0.032,0.027,0.14272,0.1684,0.201312944293022,0.149,0.178
Alemania,6.75,6.994,6.95100021362305,6.965,6.985,1.29937,1.09774,1.47252035140991,1.474,1.454,0.61477,0.53466,0.562511384487152,0.586,0.495,0.21843,0.28551,0.276731938123703,0.28,0.265,0.28214,0.30452,0.336269170045853,0.273,0.261
Angola,3.6760000381469524,3.866,3.79500007629395,3.795,2.5210029899120263,1.2470059798240527,0.66366,1.10441195964813,1.125,0.5365400000000022,-0.051919999999995525,0.00589,0.0,0.0,0.030125083826185062,0.060250167652370124,0.08434,0.0697203353047371,0.061,0.06362162250220751,0.06624324500441503,0.12071,0.097926490008831,0.079,0.079
Arabia Saudita,6.411,6.379,6.3439998626709,6.371,6.375,1.08393,0.84829,1.28667759895325,1.331,1.357,0.31048,0.37904,0.449750572443008,0.509,0.439,0.32524,0.30008,0.27343225479126,0.127,0.132,0.13706,0.15457,0.147616013884544,0.098,0.08
Argelia,5.605,6.355,5.87200021743774,5.295,5.211,1.07772,0.83309,1.1462174654007,1.154,1.16,0.28579,0.21006,0.233335807919502,0.077,0.086,0.17383,0.16157,0.146096110343933,0.135,0.114,0.07822,0.07044,0.0694366469979286,0.055,0.073
Argentina,6.574,6.65,6.59899997711182,6.388,6.086,1.24823,1.06612,1.44045114517212,1.468,1.432,0.44974,0.42284,0.494519203901291,0.57,0.471,0.08484,0.07296,0.059739887714386,0.054,0.05,0.11451,0.10989,0.109457060694695,0.062,0.066
Armenia,4.35,4.36,4.37599992752075,4.321,4.559,0.77711,0.62477,1.00748372077942,0.99,1.055,0.19847,0.14037,0.198303267359734,0.26,0.283,0.039,0.03616,0.0266744215041399,0.028,0.064,0.07855,0.07793,0.0834880918264389,0.077,0.095
Australia,7.284,7.313,7.28399991989136,7.272,7.228,1.30923,1.10476,1.51004195213318,1.573,1.548,0.65124,0.56837,0.601607382297516,0.647,0.557,0.35637,0.32331,0.301183730363846,0.302,0.29,0.43562,0.47407,0.477699249982834,0.361,0.332
Austria,7.2,7.119,7.00600004196167,7.139,7.246,1.29704,1.08383,1.4599449634552,1.504,1.475,0.62433,0.54355,0.567766189575195,0.617,0.532,0.18676,0.21348,0.221060365438461,0.224,0.226,0.33088,0.32865,0.316472321748734,0.242,0.244
Azerbaiyán,5.212,5.291,5.23400020599365,5.201,5.208,0.93793,0.76042,1.15240025520325,1.161,1.147,0.3703,0.35327,0.398155838251114,0.43,0.351,0.16065,0.17914,0.180987507104874,0.176,0.182,0.07799,0.0564,0.0452693402767181,0.031,0.035
Bahrain,5.96,6.218,6.08699989318848,6.105,6.199,1.21624,0.94397,1.32311046123505,1.366,1.368,0.45492,0.47375,0.536746919155121,0.594,0.536,0.306,0.25772,0.257042169570923,0.123,0.11,0.17362,0.17147,0.172668486833572,0.243,0.255
Bangladés,4.694,4.643,4.60799980163574,4.5,4.456,0.43106,0.24749,0.735131740570068,0.85,0.928,0.4082,0.39778,0.478356659412384,0.58,0.527,0.12569,0.12583,0.123717859387398,0.144,0.143,0.21222,0.19132,0.172255352139473,0.153,0.166
Belarus,5.813,5.802,5.56899976730347,5.483,5.323,1.23289,1.04993,1.44494521617889,1.498,1.465,0.37938,0.29091,0.295400261878967,0.307,0.235,0.1909,0.17457,0.156313821673393,0.154,0.142,0.11046,0.13942,0.15513750910759,0.101,0.094
Belize,5.955999950408937,5.955999950408937,5.95599985122681,5.956,3.24893629983267,0.5418725996653393,1.3707725996653153,1.08141779899597,1.101,0.7856248953723868,0.4702497907447736,0.6316297907447677,0.547509372234344,0.593,0.354736845269203,0.11647369053840606,0.07905369053840516,0.0965810716152191,0.089,0.18139594014247318,0.2737918802849464,0.1661118802849444,0.240015640854836,0.183,0.183
Benín,3.34,3.484,3.65700006484985,4.141,4.883,0.35386,0.10419,0.435299843549728,0.372,0.437,0.4845,0.39747,0.425962775945663,0.44,0.349,0.0801,0.06681,0.0609290152788162,0.067,0.082,0.1826,0.2018,0.207948461174965,0.163,0.175
Bhutan,5.253,5.196,5.01100015640259,5.082,5.082,1.10395,0.90836,1.34012651443481,1.335,1.321,0.53206,0.46074,0.501537680625916,0.541,0.457,0.15445,0.1616,0.173380389809608,0.171,0.167,0.47998,0.48546,0.474054545164108,0.364,0.37
Birmania,4.307,4.395,4.54500007629395,4.308,4.36,0.70905,0.69981,1.12323594093323,1.174,1.181,0.44017,0.42692,0.514492034912109,0.58,0.525,0.19034,0.20243,0.188816204667091,0.178,0.172,0.79588,0.81971,0.838075160980225,0.598,0.566
Bolivia,5.89,5.822,5.82299995422363,5.752,5.779,0.97841,0.83779,1.22761905193329,1.223,1.209,0.57414,0.50961,0.558732926845551,0.606,0.511,0.088,0.07746,0.0604777261614799,0.054,0.064,0.20536,0.21698,0.22556072473526,0.141,0.137
Bosnia y Herzegovina,4.949,5.163,5.18200016021729,5.129,5.386,0.91916,0.64367,1.0693359375,1.078,1.212,0.09245,0.09511,0.204403176903725,0.28,0.212,0.00227,0.0,0.0,0.0,0.006,0.24808,0.29889,0.328867495059967,0.216,0.263
Botsuana,4.332,3.974,3.76600003242493,3.59,3.488,1.10464,0.89186,1.22155499458313,1.174,1.145,0.49495,0.44089,0.505196332931519,0.557,0.455,0.12474,0.10769,0.0985831990838051,0.092,0.1,0.10461,0.12425,0.0993484482169151,0.042,0.025
