Country,Region 2015,Region 2016,Region 2017,Region 2018,Region 2019,Happiness_Rank 2015,Happiness_Rank 2016,Happiness_Rank 2017,Happiness_Rank 2018,Happiness_Rank 2019,Happiness_Score 2015,Happiness_Score 2016,Happiness_Score 2017,Happiness_Score 2018,Happiness_Score 2019,Standard_Error 2015,Standard_Error 2016,Standard_Error 2017,Standard_Error 2018,Standard_Error 2019,Economy_(GDP_per_Capita) 2015,Economy_(GDP_per_Capita) 2016,Economy_(GDP_per_Capita) 2017,Economy_(GDP_per_Capita) 2018,Economy_(GDP_per_Capita) 2019,Family 2015,Family 2016,Family 2017,Family 2018,Family 2019,Health_(Life_Expectancy) 2015,Health_(Life_Expectancy) 2016,Health_(Life_Expectancy) 2017,Health_(Life_Expectancy) 2018,Health_(Life_Expectancy) 2019,Freedom 2015,Freedom 2016,Freedom 2017,Freedom 2018,Freedom 2019,Trust_(Government_Corruption) 2015,Trust_(Government_Corruption) 2016,Trust_(Government_Corruption) 2017,Trust_(Government_Corruption) 2018,Trust_(Government_Corruption) 2019,Generosity 2015,Generosity 2016,Generosity 2017,Generosity 2018,Generosity 2019,Dystopia_Residual 2015,Dystopia_Residual 2016,Dystopia_Residual 2017,Dystopia_Residual 2018,Dystopia_Residual 2019,Lower_Confidence_Interval 2015,Lower_Confidence_Interval 2016,Lower_Confidence_Interval 2017,Lower_Confidence_Interval 2018,Lower_Confidence_Interval 2019,Upper_Confidence_Interval 2015,Upper_Confidence_Interval 2016,Upper_Confidence_Interval 2017,Upper_Confidence_Interval 2018,Upper_Confidence_Interval 2019,Whisker_high 2015,Whisker_high 2016,Whisker_high 2017,Whisker_high 2018,Whisker_high 2019,Whisker_low 2015,Whisker_low 2016,Whisker_low 2017,Whisker_low 2018,Whisker_low 2019,Overall_rank 2015,Overall_rank 2016,Overall_rank 2017,Overall_rank 2018,Overall_rank 2019
Afganistán,Southern Asia,Southern Asia,,,,153.0,154.0,141.0,,,3.575,3.36,3.79399991035461,3.632,3.203,0.03084,,,,,0.31982,0.38227,0.401477217674255,0.332,0.35,0.30285,0.11037,0.581543326377869,0.537,0.517,0.30335,0.17344,0.180746778845787,0.255,0.361,0.23414,0.1643,0.106179520487785,0.085,0.0,0.09719,0.07112,0.0611578300595284,0.036,0.025,0.3651,0.31268,0.311870932579041,0.191,0.158,1.9521,2.14558,2.15080118179321,,,,3.288,,,,,3.432,,,,,,3.87366141527891,,,,,3.71433840543032,,,,,,145.0,154.0
Albania,Central and Eastern Europe,Central and Eastern Europe,,,,95.0,109.0,109.0,,,4.959,4.655,4.64400005340576,4.586,4.719,0.05013,,,,,0.87867,0.9553,0.996192753314972,0.916,0.947,0.80434,0.50163,0.803685247898102,0.817,0.848,0.81325,0.73007,0.731159746646881,0.79,0.874,0.35733,0.31866,0.381498634815216,0.419,0.383,0.06413,0.05301,0.0398642159998417,0.032,0.027,0.14272,0.1684,0.201312944293022,0.149,0.178,1.89894,1.92816,1.49044156074524,,,,4.546,,,,,4.764,,,,,,4.75246400639415,,,,,4.53553610041738,,,,,,112.0,107.0
Alemania,Western Europe,Western Europe,,,,26.0,16.0,16.0,,,6.75,6.994,6.95100021362305,6.965,6.985,0.01848,,,,,1.32792,1.44787,1.48792338371277,1.34,1.373,1.29937,1.09774,1.47252035140991,1.474,1.454,0.89186,0.81487,0.798950731754303,0.861,0.987,0.61477,0.53466,0.562511384487152,0.586,0.495,0.21843,0.28551,0.276731938123703,0.28,0.265,0.28214,0.30452,0.336269170045853,0.273,0.261,2.11569,2.50931,2.01576995849609,,,,6.93,,,,,7.058,,,,,,7.00538156926632,,,,,6.89661885797977,,,,,,15.0,17.0
Angola,Sub-Saharan Africa,Sub-Saharan Africa,,,,137.0,141.0,140.0,,,4.033,3.866,3.79500007629395,3.795,,0.04758,,,,,0.75778,0.84731,0.858428180217743,0.73,,0.8604,0.66366,1.10441195964813,1.125,,0.16683,0.04991,0.0498686656355858,0.269,,0.10384,0.00589,0.0,0.0,,0.07122,0.08434,0.0697203353047371,0.061,,0.12344,0.12071,0.097926490008831,0.079,,1.94939,2.09459,1.61448240280151,,,,3.753,,,,,3.979,,,,,,3.95164193540812,,,,,3.63835821717978,,,,,,142.0,
Arabia Saudita,Middle East and Northern Africa,Middle East and Northern Africa,,,,35.0,34.0,37.0,,,6.411,6.379,6.3439998626709,6.371,6.375,0.04633,,,,,1.39541,1.48953,1.53062355518341,1.379,1.403,1.08393,0.84829,1.28667759895325,1.331,1.357,0.72025,0.59267,0.590148329734802,0.633,0.795,0.31048,0.37904,0.449750572443008,0.509,0.439,0.32524,0.30008,0.27343225479126,0.127,0.132,0.13706,0.15457,0.147616013884544,0.098,0.08,2.43872,2.61482,2.0654296875,,,,6.287,,,,,6.471,,,,,,6.44416661202908,,,,,6.24383311331272,,,,,,33.0,28.0
Argelia,Middle East and Northern Africa,Middle East and Northern Africa,,,,68.0,38.0,53.0,,,5.605,6.355,5.87200021743774,5.295,5.211,0.05099,,,,,0.93929,1.05266,1.09186446666718,0.979,1.002,1.07772,0.83309,1.1462174654007,1.154,1.16,0.61766,0.61804,0.617584645748138,0.687,0.785,0.28579,0.21006,0.233335807919502,0.077,0.086,0.17383,0.16157,0.146096110343933,0.135,0.114,0.07822,0.07044,0.0694366469979286,0.055,0.073,2.43209,3.40904,2.56760382652283,,,,6.227,,,,,6.483,,,,,,5.97828643366694,,,,,5.76571400120854,,,,,,84.0,88.0
Argentina,Latin America and Caribbean,Latin America and Caribbean,,,,30.0,26.0,24.0,,,6.574,6.65,6.59899997711182,6.388,6.086,0.04612,,,,,1.05351,1.15137,1.18529546260834,1.073,1.092,1.24823,1.06612,1.44045114517212,1.468,1.432,0.78723,0.69711,0.695137083530426,0.744,0.881,0.44974,0.42284,0.494519203901291,0.57,0.471,0.08484,0.07296,0.059739887714386,0.054,0.05,0.11451,0.10989,0.109457060694695,0.062,0.066,2.836,3.12985,2.61400532722473,,,,6.56,,,,,6.74,,,,,,6.69008508607745,,,,,6.50791486814618,,,,,,29.0,47.0
Armenia,Central and Eastern Europe,Central and Eastern Europe,,,,127.0,121.0,121.0,,,4.35,4.36,4.37599992752075,4.321,4.559,0.04763,,,,,0.76821,0.86086,0.900596737861633,0.816,0.85,0.77711,0.62477,1.00748372077942,0.99,1.055,0.7299,0.64083,0.637524425983429,0.666,0.815,0.19847,0.14037,0.198303267359734,0.26,0.283,0.039,0.03616,0.0266744215041399,0.028,0.064,0.07855,0.07793,0.0834880918264389,0.077,0.095,1.75873,1.97864,1.5214991569519,,,,4.266,,,,,4.454,,,,,,4.46673461228609,,,,,4.28526524275541,,,,,,129.0,116.0
Australia,Australia and New Zealand,Australia and New Zealand,,,,10.0,9.0,10.0,,,7.284,7.313,7.28399991989136,7.272,7.228,0.04083,,,,,1.33358,1.44443,1.484414935112,1.34,1.372,1.30923,1.10476,1.51004195213318,1.573,1.548,0.93156,0.8512,0.84388679265976,0.91,1.036,0.65124,0.56837,0.601607382297516,0.647,0.557,0.35637,0.32331,0.301183730363846,0.302,0.29,0.43562,0.47407,0.477699249982834,0.361,0.332,2.26646,2.5465,2.06521081924438,,,,7.241,,,,,7.385,,,,,,7.35665122494102,,,,,7.2113486148417,,,,,,10.0,11.0
Austria,Western Europe,Western Europe,,,,13.0,12.0,13.0,,,7.2,7.119,7.00600004196167,7.139,7.246,0.03751,,,,,1.33723,1.45038,1.48709726333618,1.341,1.376,1.29704,1.08383,1.4599449634552,1.504,1.475,0.89042,0.80565,0.815328419208527,0.891,1.016,0.62433,0.54355,0.567766189575195,0.617,0.532,0.18676,0.21348,0.221060365438461,0.224,0.226,0.33088,0.32865,0.316472321748734,0.242,0.244,2.5332,2.69343,2.1385064125061,,,,7.045,,,,,7.193,,,,,,7.07066981211305,,,,,6.94133027181029,,,,,,12.0,10.0
