pais,continente,Cluster
Venezuela,South America,0
Paraguay,South America,0
Panamá,North America,0
Nicaragua,North America,0
México,North America,0
República Dominicana,North America,0
Jamaica,North America,0
Honduras,North America,0
Haití,North America,0
Guatemala,North America,0
El Salvador,North America,0
Ecuador,South America,0
Costa Rica,North America,0
Colombia,South America,0
Chile,South America,0
Perú,South America,0
Belice,North America,0
Bolivia,South America,0
Brasil,South America,0
Suriname,South America,0
Trinidad y Tobago,North America,0
Irlanda,Europe,1
Malta,Europe,1
Luxemburgo,Europe,1
Países Bajos,Europe,1
Uruguay,South America,2
Islandia,Europe,2
Bélgica,Europe,2
Portugal,Europe,2
Austria,Europe,2
Noruega,Europe,2
Alemania,Europe,2
Canadá,North America,2
Reino Unido,Europe,2
Estonia,Europe,2
Suiza,Europe,2
Francia,Europe,2
Finlandia,Europe,2
Suecia,Europe,2
Estados Unidos,North America,2
Dinamarca,Europe,2
Ucrania,Europe,3
Argentina,South America,3
Cuba,North America,3
Belarús,Europe,3
Federación de Rusia,Europe,3
República de Moldova,Europe,3
Santa Lucía,North America,4
Polonia,Europe,4
San Vicente y las Granadinas,North America,4
República Checa,Europe,4
Serbia,Europe,4
República Eslovaca,Europe,4
Rumania,Europe,4
Albania,Europe,4
Macedonia del Norte,Europe,4
Antigua y Barbuda,North America,4
Bahamas,North America,4
Barbados,North America,4
Bosnia y Herzegovina,Europe,4
Bulgaria,Europe,4
Croacia,Europe,4
Montenegro,Europe,4
Eslovenia,Europe,4
Grecia,Europe,4
Guyana,South America,4
Italia,Europe,4
Kosovo,Europe,4
Letonia,Europe,4
Lituania,Europe,4
España,Europe,4
Hungría,Europe,4
