pais,continente,desempleo_total,indice_facilidad_para_hacer_negocios,crecimiento_PIB_per_capita,contaminacion_aire,inflacion_deflactor_PIB,medicos_por_1000_personas,inversion_extranjera_directa,crecimiento_poblacion_urbana,PIB_per_capita,comercio_servicios,corrupcion,libertad,Cluster,PCA1,PCA2
Albania,Europe,1.3078481809417484,0.280134562204946,0.2288907478168716,0.5270661879846199,-0.4656462301115062,-1.003459645589904,0.2670910902885489,0.6852525446108434,-0.7890562240282777,0.1705864701039953,-0.4797137019903594,-0.3825931282475526,4,-1.0602300898212689,0.3553052073691956
Alemania,Europe,-0.6585642517534143,-1.0211356622309318,-0.338573900841524,0.404772079048336,-0.2499405118818532,0.9730649681825108,-0.384163300283786,0.0430104381009768,1.030653085922676,-0.3814955859288818,0.7709483078072198,1.014507314120551,2,1.4132756727909017,-0.2735379929952491
Antigua y Barbuda,North America,-0.0071051452059668,0.9524575114968163,-0.359120034672259,0.5270661879846199,-0.03769840018934,0.1404854859247063,0.1950245007668577,-0.8652428379369035,-0.2076491825016347,2.1486950252955883,-0.983226978662112,-1.898826166476502,4,-1.2271086624082725,-0.3539441409198568
Argentina,South America,-0.0747831186068893,1.2343993934579232,-0.050275768994385,0.467294073461277,4.293335063932242,0.8729101532136913,-0.3695603334596539,0.3673109077247709,-0.3227542053466325,-0.7637757171614629,-0.3091688824725076,0.1210128451642057,3,-1.1392077423432958,0.9292020368395212
Austria,Europe,-0.4725670500280154,-0.9126964768612754,-0.5352297532214163,0.2694235952515444,-0.1329475799606854,1.64008240936941,-0.7280916163300672,0.6470995481845147,1.1267348722426138,-0.0290211117091184,0.5191916694713434,1.0632433760636244,2,1.5444956318083398,-0.25040590702253
Bahamas,North America,0.4961814006392301,1.082584533940404,-0.5274026546192315,0.5270661879846199,0.4473989375956336,-0.5701367726635835,-0.4952027428231286,0.052548687207559,0.4735153345555,0.2147465831457136,-0.983226978662112,-1.898826166476502,4,-1.7489716964405,0.16035562450007754
Barbados,North America,0.1527899282100695,1.2777750676057855,-0.942238880535024,0.5270661879846199,-0.6917427679525788,-0.096615708695356,0.6775861771824973,-0.9118742780135276,-0.0698877565343256,0.3613555778678536,-0.983226978662112,-1.898826166476502,4,-1.6627369423815004,-0.18435145916552592
Belarús,Europe,-1.223120464049331,-0.4355640612347868,-1.8824691001224696,0.5270661879846199,2.509014517535422,1.6073787963183668,-0.27947709655754,-0.0756877730031568,-0.6924927384766983,-0.3041428093956161,0.5516763969985533,-0.2634605323867064,3,-0.3655786637270939,0.3524603366285738
Belice,North America,-0.1949779489655713,1.4295899271233048,-0.3516190651784986,0.5270661879846199,-0.6328614568212017,-1.0668228958763002,-0.3013815467937382,1.5044821623206237,-0.6835075233205616,0.1161040516032924,-0.122381699191051,0.4567501607720445,0,-0.7705392111104252,2.198808951438987
Bolivia,South America,-0.8931708061986442,1.7549074832322744,0.477401128436238,0.5270661879846199,-1.4633573353931757,-0.7724903784169125,-0.3976283735891547,1.2564876855494869,-0.8349246047549355,-0.539975231928854,-0.2848053368271003,0.792487476379883,0,-0.789379702762555,2.1060639522704854
Bosnia y Herzegovina,Europe,2.9493125612107725,0.4536372587963964,1.2627200215221095,0.5270661879846199,-0.3113233166233869,-0.4011681052331943,-0.3356131768165415,-1.5233820262910736,-0.7550450846588324,-0.4955893184552204,-0.983226978662112,-1.8175993965713797,4,-2.51822158022982,-2.3462344116094105
Brasil,South America,-0.044929786229115,1.1910237193100606,-1.996288158962573,-0.2305710492900309,0.8816967128358895,-0.3636952152788743,-0.2164188307260603,0.2941843312409742,-0.550153300156125,-0.736357093286035,0.4217374868897138,0.3376175649111984,0,-0.7861084624671405,1.482501198594586
Bulgaria,Europe,0.0496318163287558,-0.1753100163476112,0.7317818330072431,0.5260387603335613,-0.0069107865258748,0.8695035268542077,-0.14245575200643,-1.078263734650572,-0.6391936868797754,-0.125534667750624,-0.9263787054894947,-0.6587641459249683,4,-1.0730464005567348,-1.3719527145095751
Bélgica,Europe,-0.0536825957220751,-0.5006275724565807,-0.3023735698064194,0.3791166062321993,-0.3582744274601713,0.2270137954555909,-0.958420229419788,-0.2282997587084716,0.9818884214500372,0.5535440026323223,0.827796580979837,0.8520537743103062,2,1.0367687242161514,-0.17189117762632994
Canadá,North America,-0.2939159562699222,-0.9994478251570006,-0.6285026782307849,-2.472841242344181,-0.7411953723995198,-0.1041102866862198,-0.1915748222330562,-0.0290563329265328,1.1113445626157448,-0.544910584226431,1.6805206785690956,1.1119794380066976,2,2.582509316546553,-0.3308503561628037
Chile,South America,-0.3926976634047559,-0.2186856904954738,-0.2286683913025128,0.4840351004814647,0.37908891977982,-0.3630138900069776,0.1378453514489896,0.2634499730086537,-0.3345333048101769,-0.6368113600159528,0.0481631203268006,0.0722767832211323,0,-0.3745829222527434,0.5373038866819038
Colombia,South America,-0.0396155804655324,-0.0451829939040234,0.0827849072427559,0.4164061862735568,-0.1029296566388069,-0.4611247291601066,-0.1816182539438753,0.4923679515666259,-0.6790002701299069,-0.6925195522899101,-0.5852890664537915,0.5812978746265656,0,-0.7120269640362976,0.5338808398100455
Costa Rica,North America,-0.0641547070797237,0.1066318656134956,0.2419359121538462,0.526461818778115,0.1868587569685593,-0.6225988185996318,-0.0605274186554548,1.5150802168834925,-0.4169518611727436,-0.3226261876081104,-0.138624062954656,1.1173945560003726,0,-0.005905305775581765,1.4588971435433122
Croacia,Europe,1.148734608373298,-0.3921883870869242,0.5664343750360897,0.5270661879846199,-0.5503121676860355,0.3162674060740628,-0.4661864580946582,-1.715206813879004,-0.3895977879262507,0.0304611734982799,-0.8045609772624579,-0.9132746916276848,4,-1.3236075596943557,-2.118285658926323
Cuba,North America,-1.0043002267253325,-1.4982680778574204,0.8879976759425141,0.5270661879846199,0.087568702903884,3.452407632614713,-0.5570282906759478,-0.940489025333274,-0.60807787246007,-0.938642023077573,-0.983226978662112,-1.898826166476502,3,-0.8227808558510435,-2.976181783204003
Dinamarca,Europe,-0.3981681693378559,-1.4115167295616953,-0.1399612738110855,-0.2227444680657913,-0.4954717308479882,0.846338467609719,-0.499090545678904,0.0006182198495005,1.56676410013892,0.3884193724931287,2.9311826883666745,1.198621325905495,2,3.154844989809529,-0.35663794436708385
Ecuador,South America,-0.8142392205924877,1.299462904679717,-1.016922446364204,0.5086027087258925,-1.6278786459073176,-0.5980711088113495,-0.4279722007561825,0.8569410285293224,-0.6920569176452043,-0.7528082676112917,0.4704645781805286,0.3159570929364991,0,-0.7118337924307206,1.8519134525339316
El Salvador,North America,-0.7545325558369395,0.4753250958703277,0.0788713579416635,0.5270661879846199,-0.3224838265763931,-0.7670397762417386,-0.356948680293358,0.7308241792311804,-0.7968446697159931,-0.3888502285684082,-0.0411698803730265,-0.1280825825448358,0,-0.8542150337329895,1.2063305712942154
Eslovenia,Europe,0.021341485646153,-0.6958181061219624,0.1633387970235741,0.5208411851576185,-0.407342186736319,0.0750782598226201,-0.1728944036333547,-0.3660744680257697,0.0136705688601154,-0.0793423508216682,-0.6908644309172234,0.982016606158502,4,0.01739123359816686,-0.44665319887506466
España,Europe,2.068092205473126,-0.8259451285655501,0.7588505490064654,-0.828141102221836,-0.4679553011362661,0.7870631689547034,-0.3701292802190357,-0.6564611630483826,0.266436248187459,-0.4497195735718577,-0.4797137019903594,0.175164025100954,4,0.1747100810156814,-2.296393021231062
Estados Unidos,North America,-0.5541557385159634,-1.368141055413833,0.1222465293621041,-2.2389805778870757,-0.3956044090271229,-0.0829892032574214,-0.291993925263939,0.1362733182542247,1.7559439468156055,-0.7151318526859982,0.2917985767808745,0.6408641725569886,2,2.1769444586418083,-0.7917054738611694
Estonia,Europe,-0.3772239466225588,-1.1078870105266572,-0.0144015670677049,-2.4947798445403113,-0.3228686717471864,0.4940933020391092,-0.848044558099724,-0.5907532247585943,-0.1289560768745467,0.4243216411676594,0.2349503036082572,0.1155977271705309,2,1.1564528989584617,-1.3676952590184486
Federación de Rusia,Europe,-0.501795181727721,-0.8693208027134128,-1.3342460688611113,0.2800907117463572,0.8208911758505457,0.8517890697848929,-0.509331587347776,-0.4497990990724355,-0.5337810393587032,-0.606521844934745,-0.7558338859716431,-0.3284419483108043,3,-0.9420291151510181,-0.621242125072026
Finlandia,Europe,0.0860497558262497,-1.0645113363787946,-0.5476226593415422,-2.4947798445403113,-0.2599464863224794,0.4913680009515223,0.1577584880273517,-0.477354040935895,1.0617820837906995,-0.215370982448349,2.362699956640502,1.160715499949771,2,3.0605852101515745,-0.7814498981089686
Francia,Europe,0.2389113216140144,-0.7825694544176875,-0.3610768093228052,0.2373315903861297,-0.3559653564354115,0.3728174036414912,-0.3895682944979129,-0.1636516258749701,0.7809547875305778,-0.29198184327675,0.6734941252255902,0.6625246445316879,2,0.8666878862775153,-0.4761036683222265
Grecia,Europe,2.52511390114125,0.2150710509831521,-0.4514145723563544,0.5270661879846199,-0.6078465207196361,2.1926372048776583,-0.4952027428231286,-1.1185363419894747,-0.116560087909334,-0.0793423508216682,-0.8857727960804825,-1.898826166476502,4,-1.6267324299409984,-2.8261552634140967
Guatemala,North America,-0.9877324087565152,0.5837642812399843,0.1261600786631965,0.5270661879846199,-0.1446853576698815,-1.6391361242695537,-0.3735429607753263,1.770493331848637,-0.7918990069439928,-0.6064250733210671,-0.227957063654483,0.8087328303609076,0,-0.6626255330845449,2.4484769614076414
Guyana,South America,0.7504817764436202,1.4079020900493735,-0.5649075020880335,0.5270661879846199,0.003864878256338,-0.6048843615303168,-0.2519780031874211,-0.1424555167492321,-0.7081524219075677,-0.5104276325525107,-0.983226978662112,-1.898826166476502,4,-2.5549150288239297,0.16360329727191886
Haití,North America,-1.379420633566473,2.383854758376282,-0.6066520279663523,0.5270661879846199,0.4275794112997779,-1.7754011786488997,-0.4895132752293109,2.6395338060039024,-0.91090374174133,-0.5552328896854155,0.3973739412443064,-0.9945014615328072,0,-1.595544898896068,3.847083726053818
Honduras,North America,-0.4186434915446014,1.3862142529754422,0.0217987639673996,0.5270359695242945,0.7598932162798053,-1.4347385427005346,0.0380900196373856,2.387300107407618,-0.8696718599386575,-0.2305318685912325,-0.4472289744631495,-0.1443279365258603,0,-1.175825409153038,2.8059944503547403
Hungría,Europe,-0.314547578646185,-0.3705005500129929,0.6975382766226846,0.5270661879846199,-0.0400074712140999,0.2760692150321555,-0.9714111804256718,-0.7295877395321793,-0.368900445224026,0.0795566388375753,-0.772076249735248,-0.577537376019846,4,-0.9966362718758087,-0.9616409670696676
Irlanda,Europe,0.1692014460093692,-0.9777599880830692,4.289672670002342,-2.4126460693762835,1.1399278224382037,0.307410177539405,4.227403053279304,0.4489159278588627,2.104543803333565,2.866933942013558,1.3313098576515894,1.0307526681015753,1,5.54888479501377,-0.6897974944239947
Islandia,Europe,-0.7575022590577651,-0.9343843139352068,0.5018608115680655,-2.132611597542198,0.5909461863015399,0.7359637735624485,0.0632185015100806,0.2528519184457846,1.5599407787477215,0.3831937053545178,0.14561730290843,1.0903189660319983,2,2.59434847360501,-0.5370644195899107
Italia,Europe,0.4799261830094475,-0.2403735275694051,-0.2713913045061047,0.4290072842291857,-0.4235056839096383,0.8027336502083282,-0.4886598550902382,-0.5430619792256833,0.4782003485692963,-0.5879739523131322,-0.7639550678534456,-0.8970293376466604,4,-0.8018192958277355,-1.2662989584087427
Jamaica,North America,0.7323509567796315,0.0415683543917017,-0.3946681074905148,0.5270661879846199,0.7063997375395346,-1.5417066103883212,0.0611323633923474,-0.073568162090583,-0.7358386221720552,0.2479715038418201,-0.8126821591442603,0.4134292168226459,0,-1.1890302074460264,0.6323166159156074
Kosovo,Europe,3.753476933376468,-0.2620613646433364,1.810943052783468,-2.4947798445403113,-0.4571796363540533,-1.8339951520320183,-0.0398556863979171,-0.8885585579752154,-0.8097746123079994,-0.1161800784284193,-0.6177737939810013,-0.9782561075517828,4,-0.9024741488840969,-2.40385605757717
Letonia,Europe,0.1637309400762692,-1.086199173452726,0.9199583285681018,0.2935681450514183,-0.4997050277267146,0.3292125862401004,-0.26449483189382,-1.7120273975101434,-0.3398999270719308,-0.0175052896814388,-0.4878348838721618,-0.7075002078680418,4,-0.5999227638626317,-2.081426555087175
Lituania,Europe,0.0460369124298613,-1.2597018700441762,0.6489450394674542,0.5128937300920782,-0.5745574134460144,1.063681229344776,-0.3203464387731307,-1.6929508992969788,-0.293001367723782,-0.0515366404915285,-0.9182575236076924,-1.1623701193367266,4,-0.8515888094334167,-2.4950981850780067
Luxemburgo,Europe,-0.3172046815279763,0.063256191465633,-0.6294810655560579,-0.0779376061871965,-0.1471868512800381,0.1472987386436734,4.227403053279304,1.960198508523994,3.629904720220828,4.703818007302928,2.0703374088956137,1.0199224321142255,1,5.7634084164169375,2.2890753591278217
Macedonia del Norte,Europe,2.746122340838488,-1.1295748476005885,0.7562415161390705,0.5270661879846199,-0.1887501297257161,0.0968806685233155,-0.2775806073596008,-0.942608636245848,-0.7262606791795316,-0.0828583861186347,-0.7233491584444333,-0.4475745441716505,4,-1.1836888334981177,-2.3812252759568167
Malta,Europe,-0.537119020038595,0.4102615846485338,1.7026681887865784,0.5270661879846199,0.2340022903907404,0.6071932971739666,2.4871213453962233,1.715383448121718,0.2430444962878641,4.703818007302928,0.1050113934994179,0.9549410161901278,1,2.8043169429863384,1.5983695021518036
Montenegro,Europe,1.3644288423069535,-0.4138762241608555,0.4946859711827293,0.5270661879846199,-0.1469944286946414,-0.2328807630747019,1.0796418871456164,-0.2876488642605385,-0.6661198973035771,0.5078355437717562,0.161859666672035,-1.324823659146971,4,-0.5610451547619414,-0.8765685893158756
México,North America,-0.7056106027780741,-0.1969978534215425,-0.0669083535240276,0.518453926791924,0.0463902696289993,-0.2274301608995281,-0.2736928045038254,0.6365014936216455,-0.4981365905921616,-0.7343248893987976,0.7303423983982074,0.2942966209617998,0,-0.050836581272152556,0.8577321861672613
Nicaragua,North America,-0.6448098368359058,1.581404786640824,0.5096879101702503,0.5249508957618527,0.8861224323000128,-1.2071759018870265,0.1617411153430241,0.907811690431094,-0.8791039700228757,-0.3627218928753536,0.5679187607621582,0.689600234500062,0,-0.5758688295783597,2.3396223536328313
Noruega,Europe,-0.7079551053208311,-1.3030775441920388,-0.3150926050349697,-2.433587462381681,-1.1137254977274489,1.1985836331803283,-0.379327252829041,0.688431960979704,2.607822805797945,-0.1997262382370755,1.9647620444321816,1.3123388037726662,2,4.1009166213463635,-0.5757782223536289
Panamá,North America,-0.691387287352014,0.3668859105006712,0.5367566261694725,0.1429593387903759,0.0059815266957012,-0.7568198971632877,0.3134602511781632,1.4631497495254338,-0.3034330708293929,0.0266870805648387,-0.244199427418088,0.6192037005822894,0,0.16626888679712845,1.609179143897923
Paraguay,South America,-0.6673170612463742,1.212711556383992,-0.1141970742455606,0.5270661879846199,-0.2655267412989824,-0.8378976045189986,-0.3887148743588402,1.1420286962705006,-0.6966985461290806,-0.6210698441910013,-0.333532428117915,0.6029583466012648,0,-0.9196750156009319,1.924934371919214
Países Bajos,Europe,-0.3053258686446736,-0.5873789207523059,-0.0476667361269901,0.521385117443473,-0.4033013124429893,0.5308848667215328,4.0420528387866055,0.1500507891859546,1.2167939320328591,0.6697989678641358,1.583066495987466,1.0199224321142255,1,3.175790842521393,0.6584224768075864
Perú,South America,-0.8680064789063845,0.1500075397613582,0.090938134953365,0.5262502895558382,-0.0563633909728158,-0.950997599653856,-0.1904369287142927,0.560195500768988,-0.6798058027920558,-0.6998419377248772,-0.5121984295175692,-0.0685162846144131,0,-0.998873174654572,1.0423884241018728
Polonia,Europe,-0.211076866425837,-0.6307545949001685,0.8759308989308126,0.5269453141433188,-0.3199823329662365,-0.2710349783009189,-0.244581695315458,-1.1789452529978284,-0.3727124752600962,-0.4259782710161933,-0.6583797033900135,0.5596374026518662,4,-0.5241197813957259,-0.8737261221084431
Portugal,Europe,0.5660475764133925,-0.6524424319740998,0.0638694189541428,-1.6650413609296155,-0.1966394557269791,1.402299889477451,-0.4965302852616861,-0.3586558298317613,-0.0573519750771279,-0.2634342172417459,-0.91013634172589,0.472995514753069,2,0.4391695168174672,-1.6830153732141095
Reino Unido,Europe,-0.511642092407301,-1.32476538126597,-0.1301774005583546,-0.3201687841543952,-0.4475585070842204,0.055319826937615,-0.4102400267554506,0.2867656930469657,1.1770315492894532,-0.2497894197131506,1.6074300416328735,0.9116200722407292,2,2.0425574041893304,-0.06998326112285842
