pais,continente,desempleo_total,indice_facilidad_para_hacer_negocios,crecimiento_PIB_per_capita,contaminacion_aire,inflacion_deflactor_PIB,medicos_por_1000_personas,inversion_extranjera_directa,crecimiento_poblacion_urbana,PIB_per_capita,comercio_servicios,corrupcion,libertad
Albania,Europe,1.3078481809417484,0.28013456220494604,0.22889074781687163,0.5270661879846199,-0.46564623011150624,-1.003459645589904,0.26709109028854894,0.6852525446108434,-0.7890562240282777,0.17058647010399533,-0.4797137019903594,-0.38259312824755265
Alemania,Europe,-0.6585642517534143,-1.0211356622309318,-0.338573900841524,0.40477207904833606,-0.2499405118818532,0.9730649681825109,-0.38416330028378604,0.04301043810097688,1.030653085922676,-0.3814955859288818,0.7709483078072198,1.014507314120551
Antigua y Barbuda,North America,-0.007105145205966889,0.9524575114968163,-0.35912003467225906,0.5270661879846199,-0.03769840018934004,0.1404854859247063,0.19502450076685773,-0.8652428379369035,-0.2076491825016347,2.1486950252955883,-0.9832269786621121,-1.898826166476502
Argentina,South America,-0.07478311860688931,1.2343993934579232,-0.05027576899438506,0.467294073461277,4.293335063932242,0.8729101532136913,-0.36956033345965394,0.3673109077247709,-0.3227542053466325,-0.7637757171614629,-0.3091688824725076,0.12101284516420574
Austria,Europe,-0.47256705002801547,-0.9126964768612754,-0.5352297532214163,0.2694235952515444,-0.13294757996068543,1.64008240936941,-0.7280916163300672,0.6470995481845147,1.1267348722426138,-0.029021111709118457,0.5191916694713434,1.0632433760636244
Bahamas,North America,0.49618140063923016,1.082584533940404,-0.5274026546192315,0.5270661879846199,0.4473989375956336,-0.5701367726635835,-0.4952027428231286,0.052548687207559064,0.4735153345555,0.21474658314571363,-0.9832269786621121,-1.898826166476502
Barbados,North America,0.1527899282100695,1.2777750676057857,-0.9422388805350241,0.5270661879846199,-0.6917427679525788,-0.09661570869535607,0.6775861771824973,-0.9118742780135275,-0.06988775653432565,0.36135557786785366,-0.9832269786621121,-1.898826166476502
Belarús,Europe,-1.223120464049331,-0.4355640612347868,-1.8824691001224694,0.5270661879846199,2.509014517535422,1.6073787963183668,-0.27947709655754005,-0.07568777300315684,-0.6924927384766983,-0.30414280939561616,0.5516763969985533,-0.26346053238670647
Belice,North America,-0.19497794896557133,1.4295899271233048,-0.3516190651784986,0.5270661879846199,-0.6328614568212017,-1.0668228958763002,-0.30138154679373824,1.5044821623206235,-0.6835075233205616,0.11610405160329247,-0.12238169919105107,0.45675016077204456
Bolivia,South America,-0.8931708061986442,1.7549074832322744,0.477401128436238,0.5270661879846199,-1.4633573353931755,-0.7724903784169125,-0.3976283735891547,1.2564876855494869,-0.8349246047549355,-0.539975231928854,-0.28480533682710035,0.792487476379883
Bosnia y Herzegovina,Europe,2.9493125612107725,0.45363725879639644,1.2627200215221097,0.5270661879846199,-0.3113233166233869,-0.4011681052331943,-0.33561317681654157,-1.5233820262910736,-0.7550450846588324,-0.4955893184552204,-0.9832269786621121,-1.8175993965713797
Brasil,South America,-0.044929786229115094,1.1910237193100606,-1.996288158962573,-0.23057104929003092,0.8816967128358895,-0.36369521527887433,-0.21641883072606033,0.29418433124097426,-0.550153300156125,-0.736357093286035,0.4217374868897138,0.33761756491119843
Bulgaria,Europe,0.04963181632875584,-0.17531001634761123,0.7317818330072431,0.5260387603335613,-0.006910786525874811,0.8695035268542077,-0.14245575200643,-1.0782637346505721,-0.6391936868797754,-0.12553466775062408,-0.9263787054894949,-0.6587641459249683
Bélgica,Europe,-0.053682595722075184,-0.5006275724565807,-0.30237356980641944,0.3791166062321993,-0.35827442746017135,0.22701379545559092,-0.958420229419788,-0.22829975870847163,0.9818884214500371,0.5535440026323223,0.827796580979837,0.8520537743103062
Canadá,North America,-0.2939159562699222,-0.9994478251570006,-0.6285026782307849,-2.4728412423441806,-0.7411953723995198,-0.10411028668621988,-0.19157482223305627,-0.02905633292653283,1.1113445626157448,-0.544910584226431,1.6805206785690956,1.1119794380066976
